sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|8,54|0|12,81|0|10,02|0
1|11,33|4,47964429659427|12,32|4,92601090275279|10,51|5,42016092204901
2|11,49|2,96860247239098|15,93|3,24193790080106|17,24|2,69102859001767
3|8,21|2,3704310129111|18,39|2,09272517047155|19,7|2,10200955626783
4|15,44|1,94507381299843|22,33|2,07971224723386|20,36|2,04795342326391
5|15,93|1,9876216658516|23,48|1,89433913796357|22,33|1,82926770719727
6|19,87|1,76147583357078|24,47|1,77760795595922|23,81|1,62269315140453
7|21,84|1,58366692029564|23,65|1,54427309131785|26,77|1,71137211890139
8|20,36|1,5073774739128|26,44|1,70428939334833|28,9|1,49379721805142
9|22,17|1,72969733654195|23,48|1,54744651562799|29,23|1,66402176843521
10|24,63|1,56597053703356|28,24|1,65158834351112|29,39|1,53709019856673
11|24,96|1,55051211427177|28,41|1,86209368059397|32,51|1,52875090907917
12|27,59|1,4497295888886|31,69|1,69772599629176|33,5|1,72248023987687
13|28,9|1,58919329082717|33|1,52538970415178|31,53|1,58240843318581
14|29,39|1,43141435308271|33,99|1,51835964582685|34,32|1,49937639100536
15|32,02|1,44063633393773|33,99|1,46358231385848|38,59|1,43770874034935
16|29,72|1,611380913736|39,24|1,39685613915401|34,48|1,50907416950256
17|35,3|1,50466773507295|39,57|1,50695572758155|39,41|1,75206472619184
18|37,6|1,45526227573963|41,05|1,50388347017132|39,08|1,45479868852063
19|36,95|1,61000765060309|38,26|1,52141785190956|39,08|1,4436838013972
20|38,59|1,45361033690474|41,71|1,54491579428098|38,1|1,41956760210971
21|38,75|1,30382208964815|41,54|1,52751740873203|40,39|1,37485128706072
22|41,54|1,49507228703788|41,71|1,38456246321678|38,59|1,48534466458325
23|43,19|1,57109251990669|42,53|1,69806718051124|40,89|1,44711043730635
24|39,9|1,30974648072011|44,01|1,38187097257797|39,08|1,51967493544681
25|44,66|1,4696973315361|41,71|1,37241070493077|36,78|1,51469393416226
26|44,33|1,59081887111892|44,83|1,43104954490335|41,22|1,48509053867337
27|45,32|1,34216794867701|47,95|1,54874174663732|41,05|1,42797409823242
28|47,78|1,55072224474311|50,9|1,2648447964221|43,68|1,1626283054954
29|47,29|1,3823430690838|50,41|1,40899093890608|44,5|1,36408546643923
30|45,98|1,6424596642178|52,55|1,44733502147841|48,28|1,47261746407952
31|48,6|1,44084195280231|52,22|1,32848060067184|49,43|1,49639121655853
32|45,81|1,39912594906878|53,04|1,489992726173|49,75|1,44959792689914
33|49,26|1,30781712800315|55,67|1,43898529319736|50,08|1,29089991414618
34|51,4|1,32650285791896|58,46|1,40177602730104|52,05|1,28632964948197
35|49,26|1,29406488638933|57,96|1,42825180981021|54,84|1,37741919428251
36|51,4|1,48524057710866|57,64|1,47439420273132|45,98|1,27682570010478
37|54,52|1,58218524221464|60,43|1,50883477778706|51,56|1,42994765332376
38|55,17|1,29484749623136|59,77|1,34648812994584|56,98|1,33107718832371
39|54,52|1,41105242447377|59,28|1,38939360821893|51,07|1,50620393523553
40|52,87|1,40616205399408|62,73|1,53473318087292|54,52|1,43097088111029
41|55,67|1,66140715155657|63,22|1,35561868364767|53,86|1,27970427329055
42|55,99|1,22398905080846|59,77|1,45597363181262|54,35|1,43979990882817
43|56,32|1,42891277773883|65,52|1,50263837021372|57,31|1,36624897578286
44|55,99|1,31391814057383|65,68|1,40188545454061|57,96|1,25853388645691
45|56,65|1,42898621150343|62,23|1,59676384524717|59,93|1,39770092933926
46|57,14|1,41356746629918|66,83|1,4888723901878|60,43|1,26365441264225
47|58,62|1,36084733289182|67,32|1,3185522029719|60,76|1,4605654993163
48|58,46|1,13058298834259|67,65|1,43797963052004|61,74|1,22265729132895
49|56,16|1,11531240143162|70,11|1,4299339523646|63,38|1,34309427123585
50|53,69|1,20898921461487|69,95|1,31409456525339|64,7|1,27038234406558
51|60,43|1,53038200993605|67,65|1,34699697763814|65,19|1,37242873580685
52|63,55|1,22238900585827|69,95|1,20718393865305|64,37|1,26697617892765
53|63,55|1,39228363184036|69,46|1,26120354372362|65,35|1,26308604688217
54|63,71|1,16887848597075|70,44|1,26857046992565|64,2|1,25695598049615
55|64,2|1,14594748208585|70,61|1,40616972690481|64,2|1,21452806990293
56|66,67|1,22144802086968|68,64|1,42062970109004|65,85|1,40326964509145
57|67,32|1,32650558098402|72,25|1,34344675159926|64,2|1,19925430758805
58|66,01|1,4885404748036|73,73|1,31141623197635|65,19|1,14869144781883
59|68,47|1,4116629349133|73,89|1,40799160767308|65,85|1,40107967726648
60|67,16|1,27415097608232|73,07|1,13919945436213|66,34|1,32968422446152
61|68,47|1,10624083888155|71,26|1,47032620965408|67,65|1,27657624420246
62|68,8|1,29725240908886|71,59|1,45307079432752|67,16|1,21344814389531
63|68,64|1,36008532897253|70,61|1,30585414108828|69,95|1,38404320394763
64|68,31|1,40155585104445|71,59|1,40540265046953|69,29|1,1666278943312
65|69,79|1,29620263197807|72,09|1,08128890752547|67,82|1,23605375701062
66|70,44|1,28131575794201|74,38|1,38372709277265|69,79|1,34698443971903
67|70,77|1,22701614496655|74,22|1,23703495653824|69,13|1,13268358455665
68|71,43|1,30812309594222|74,38|1,22360503166771|71,26|1,38166228066189
69|71,59|1,27278703047412|72,58|1,47510123083771|70,44|1,2222581863513
70|71,43|1,19536202026019|75,86|1,25372906621322|71,26|1,25842908961247
71|72,09|1,11747530421035|75,53|1,29870272092549|72,41|1,28973961235714
72|72,74|1,40283749630878|77,01|1,22012976316451|71,92|1,0784709826914
73|70,94|1,17936880557213|77,18|1,4400934529505|72,74|1,22225442281755
74|70,77|1,26117324097264|77,34|1,2895760217193|71,43|1,14466772669188
75|69,13|1,26879785348241|76,35|1,26820256063772|69,29|0,998444189121945
76|71,26|1,28964108143806|75,86|1,11977314813193|71,76|1,01206117502731
77|72,58|1,29592673473568|76,35|1,32275127630556|71,43|1,14925558127346
78|72,74|1,29688527169398|77,01|1,23825177264459|70,11|1,03393660495877
79|73,23|1,38006362593642|77,5|1,15063718302298|71,1|1,07806684037159
80|74,22|1,05463520897703|75,53|1,31117200117633|73,4|1,14636852361433
81|72,91|1,22980770249328|77,34|1,27858256917836|74,38|1,10990781066331
82|75,21|1,36049154627115|76,03|1,08623219131118|74,55|1,18869430145119
83|73,73|1,0600764638461|75,86|1,21001652398649|76,19|1,07289685620308
84|72,41|1,05980701662541|78,98|1,19279817033743|74,55|1,19380342204589
85|75,53|1,34562295660132|78,16|1,20506688662465|77,34|1,53328674216817
86|73,4|1,31905658704717|80,46|1,01799183010115|74,55|1,15697029945518
87|75,7|1,05636548946353|79,97|1,23936075029519|74,88|0,973371353877963
88|75,37|0,971717491362283|79,47|1,04123340655927|75,7|1,24053224231626
89|75,7|1,10398188177577|79,97|1,02109794047267|77,18|1,16587146340179
90|76,03|1,15443177565883|78,49|1,10698545743351|76,68|1,12282718690235
91|75,37|1,29817724632628|80,79|1,1154462194508|77,5|1,16674041222591
92|76,52|1,33268676434951|79,64|0,975526952091064|76,85|1,31753141991252
93|76,03|1,19736650930304|79,47|1,18370107705846|78|1,01322498682567
94|74,38|1,08056219988848|80,13|1,20560914410681|75,86|1,11039158518141
95|75,21|1,28307671910923|79,31|1,24674734427042|75,7|1,21378031179244
96|76,85|1,15176850154794|81,44|1,35199762041887|76,19|1,11518510615654
97|77,01|1,16271110885524|80,95|0,886755974597958|77,18|1,20404165778486
98|75,7|0,988581910372222|80,62|1,08606659627384|78,33|1,17529336203705
99|75,21|0,981228876138847|79,15|0,930532474678372|76,19|1,10185453631816
100|76,03|1,32340774497137|80,95|1,12946703741612|77,83|0,982407609416831
101|76,03|1,15929827319062|80,3|1,02915863127278|78,98|1,13570451426661
102|77,01|1,07339145090695|81,61|1,23233383153687|78,33|0,94027099131882
103|77,83|1,35831491691307|80,79|0,999264052791003|78,49|1,13182149154769
104|78,33|1,20936766241486|82,92|0,993155893499709|79,64|1,07651307479303
105|78|1,04738144462176|82,27|0,79110828544218|80,13|1,25893346408725
106|76,19|1,11991442684617|81,44|0,917042211069742|80,3|1,17443234416498
107|77,34|1,29616657822993|79,8|1,08924173282595|80,13|1,03516970204252
108|74,88|1,1799721505586|80,79|1,22827874151916|80,79|1,12060857172663
109|77,18|1,20586020778972|79,15|1,04189236224187|81,94|1,30602903004847
110|77,01|1,1202952091298|79,64|1,39297940266089|79,47|1,10222779297961
111|77,18|1,08036882588155|83,58|1,11489731144558|81,12|1,11032083345898
112|78|1,12004018569656|82,76|1,13467153050177|81,12|1,30936889440986
113|76,85|1,05493240338915|81,61|1,16145793540974|80,79|0,999267797219111
114|77,67|1,07304003612348|84,73|1,02673252864467|80,62|0,959915415292987
115|77,83|1,09362742236918|84,56|1,16698225088649|79,64|1,14287564639643
116|77,67|0,896420340539554|84,24|0,987146961168572|81,77|0,988945033738122
117|76,68|0,972943385141|85,71|1,24024780192213|82,43|1,02630738710029
118|77,01|1,06263634872097|84,07|0,955775173046146|80,46|0,90341715208076
119|77,01|1,12710339753158|83,42|0,962516249004386|83,09|1,2788688495069
120|79,47|1,20186958147623|83,42|1,07887678130037|82,59|1,20911495800975
121|78,98|1,17146077691405|82,76|1,15847469776856|81,94|0,857431036691584
122|79,8|0,943362972767605|83,58|0,987772837394218|82,43|1,04816593275457
123|80,62|1,14985876690601|81,94|1,16178092439726|82,27|1,20728980294511
124|80,46|1,20238705766557|82,59|1,05344018672992|82,43|1,2014814107548
125|79,31|1,05561045793241|83,09|0,984044203008877|80,79|0,926955451716822
126|80,46|1,24270739472275|83,42|1,17205909713882|77,5|1,0206544641206
127|79,31|1,02231748007461|83,09|0,988630186345306|81,77|1,44114906600489
128|78,82|0,835452566661283|83,09|1,0636859110999|81,44|1,06743579114201
129|79,8|0,936622918831343|83,25|0,810510274306099|82,27|1,12018226868383
130|79,47|1,09533971882549|84,07|0,936406780647103|82,27|1,09286200651769
131|79,31|1,03288638287023|84,4|0,990561589242734|83,58|1,05977578033073
132|79,47|1,20900652711824|84,73|0,862879684611903|84,07|1,00695845765814
133|79,47|1,06033687674539|83,91|0,914827002962844|84,73|1,20004948858953
134|79,31|0,952573915724953|83,74|1,02489671240677|82,92|1,07696363994139
135|78,98|0,995853517107474|83,25|0,801171763925331|84,4|0,996611438686511
136|78,49|0,977349595090702|84,56|1,00576697206829|85,22|1,41768887413024
137|79,8|1,35174451438716|85,39|1,19183455523929|85,55|0,897333217427168
138|80,79|0,908708501829256|84,73|0,922830578180279|85,06|1,2571929788406
139|79,97|0,953190048402181|83,74|0,893646398484693|86,7|1,08749361070992
140|79,97|0,865785031014198|83,58|0,956649069681567|85,22|0,865996504534947
141|78,49|0,928549627046994|83,58|1,15489121499372|86,21|1,08773369007653
142|78,49|0,971651407055754|83,91|0,900269216639783|86,54|0,938209961069469
143|79,97|0,971722947229112|84,24|1,24111636343682|86,37|1,05497028658828
144|79,97|1,00639571936033|82,59|1,00290848347172|85,55|0,704239459269269
145|79,97|0,954419658212691|85,39|1,2125174244522|84,56|0,989741301816422
146|79,97|1,01480097569885|83,25|1,24907218335788|84,56|0,917870989892515
147|80,62|0,961426082110811|85,06|0,993302506505445|84,07|0,701312818685428
148|81,44|1,16957029023962|86,54|1,12171437397675|84,4|1,19943817299814
149|81,94|1,11735760331965|86,21|1,00373853680447|84,73|1,14500060828482
150|83,74|1,12432894644651|85,88|0,862221703933842|85,22|0,995357460635081
151|83,58|1,10453287574018|86,54|1,23331520958034|84,4|0,862176585265757
152|82,92|1,10192555551848|85,55|0,988923324464711|83,74|0,910192839727043
153|80,62|0,960580393594828|86,04|0,900994805130841|84,73|0,744683783301889
154|81,12|1,07211883418858|85,71|1,00783622182396|84,89|1,178956353224
155|82,76|0,9578529493128|87,36|1,03571568481312|85,55|0,954911624392756
156|83,09|0,879692122886264|87,36|1,00758444367272|85,71|1,02227744268129
157|83,09|0,958087377122341|84,4|1,01922390787868|84,4|0,903902659326876
158|82,59|1,24698705590617|86,37|0,850896080468149|84,73|0,993603214575632
159|83,09|1,05846705786264|85,71|0,862859813359463|85,06|1,0209227598566
160|83,25|1,07262757166899|86,86|1,01881024499926|84,89|0,941688902496161
161|81,94|0,890828532880417|84,24|0,71305638046445|85,22|0,924595864557485
162|81,28|0,851279702761793|86,7|1,0605567470179|84,4|0,918868664961156
163|83,58|0,921653723824902|88,83|1,28673278073059|85,88|0,936627903270646
164|83,42|0,984742114088263|89|0,942317468620314|86,04|1,04512577270366
165|83,09|0,842527866365815|88,51|0,773873639119866|86,86|1,06714101785502
166|82,92|0,724172327722649|87,85|1,10235158731733|86,54|0,855844456415488
167|83,42|1,01429647779511|88,34|1,1081903677197|86,86|0,945014409035944
168|83,58|0,891369095936494|88,18|1,00047245926208|86,86|1,09794267676485
169|83,25|0,909592271227791|88,34|1,1151338043508|86,54|0,844296145492002
170|84,07|0,983065517226235|87,85|1,01305928443819|86,54|0,913555484130694
171|83,25|0,835110672119841|89|0,849247590855578|85,88|0,877183272346435
172|82,43|0,978765892764708|86,37|1,0122335584356|85,55|0,813642794484129
173|82,27|1,1542154015876|86,37|0,887952705082559|86,7|0,855993677767361
174|81,94|0,82402976014921|86,21|1,12643548854206|87,52|0,981707264860092
175|82,76|0,971967412337338|86,86|0,705880952512697|87,68|0,907926539494449
176|82,27|1,11966300627471|86,86|0,749349460746159|87,85|0,990463576248425
177|82,43|1,02530445802506|86,04|0,636888207943912|85,71|0,9165089959261
178|83,42|0,902790722105123|86,7|0,96939795187611|85,06|0,864912912769806
179|83,91|0,683788398503899|86,86|0,855789476961038|87,52|1,24802837253988
180|82,76|0,695604315530538|87,03|0,871025165095087|87,19|1,00600574206683
181|83,25|0,823348685420035|85,71|0,881575838954753|88,18|0,883446740327681
182|83,42|0,925265208662857|85,71|1,06019897450465|86,21|0,946638312420416
183|83,74|1,01178463307007|86,54|0,791950888294412|85,71|0,790300564842459
184|84,24|1,06539829969742|86,21|0,964099165815202|86,21|0,971573476918809
185|84,24|1,12843023754506|87,19|1,04104165541988|86,37|0,873996103196806
186|84,07|0,809390423333165|86,21|1,10899467838236|87,36|1,06847633323026
187|83,74|1,03642796371504|86,21|0,886248550512395|86,86|0,584648923976604
188|84,73|0,939693918822463|86,7|0,912681323297104|89,49|1,19694392164234
189|84,24|0,912766421291143|87,52|0,88764748319434|89,33|1,0183186598644
190|84,4|1,11923809184983|87,36|1,08496591715747|89,66|0,970845054021974
191|85,06|0,991870456627347|87,36|0,888537311393308|90,15|0,806492975670107
192|85,22|0,97248312705652|86,86|0,972319834761715|89,98|0,996121122342297
193|84,73|1,01423564266981|88,18|0,952849491764484|89,98|0,752201106477641
194|86,21|0,963263320290845|88,01|0,795301923950715|90,48|1,00681269868769
195|85,71|0,804480958638236|88,18|0,934331375273066|89,66|0,746359532471317
196|86,04|0,773901353605474|89,66|0,955293208458975|89,33|0,829454415392301
197|87,52|1,07337486107988|90,15|0,925290149743966|89,98|0,792450568844781
198|86,21|1,06472661097104|89|0,897461924649444|90,48|0,941255259143883
199|86,21|0,783859902306653|88,18|0,890141309561704|90,31|0,668231703109012
200|86,7|1,04211093352865|87,03|0,857130123040742|89,33|0,889034446815939
