sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|9,52|0|6,9|0|8,05|0
1|10,67|9,05692869153055|10,67|8,71131000238011|14,94|8,25304027457558
2|11,49|8,71846511561755|10,84|9,23766130921134|13,79|9,14576840222983
3|11,82|8,89045703683763|11,82|8,82763381090314|13,63|9,38585442756307
4|11,33|9,58116061043763|10,51|8,31293865206706|14,45|9,74342635925196
5|10,84|9,57619992020289|10,34|8,7513942196776|13,46|9,47851345685982
6|11,17|9,27046144926883|11,33|9,31993111038624|13,46|9,56180095415403
7|11,17|9,35211926937031|10,84|8,81522474050324|13,3|10,5160741823903
8|9,52|8,91423035420573|9,85|8,7162476366855|13,46|9,38633793225283
9|10,51|9,15092620344112|11,17|8,94909167280569|13,79|9,87198030538074
10|10,34|9,43547294739235|11,82|8,65159710963343|13,3|9,85008768306384
11|10,34|8,95851780617263|11,66|8,90494546625233|13,14|10,0311742638763
12|10,67|8,87164660717679|10,84|8,17011102052735|13,63|9,77549860847222
13|10,18|8,98803286514861|11,17|9,1113468593709|12,81|9,27097883423876
14|10,34|9,13260578849446|12,32|8,72677161653148|11,82|9,58027703198398
15|9,85|9,15210986402473|11,17|8,45156639799412|12,48|9,82480196272419
16|10,18|8,97109306443681|9,85|8,75418448210976|12,48|9,88197715544525
17|10,18|8,90269654332505|12,81|8,21352085871142|11,82|9,84462243401582
18|10,02|8,7518318952461|13,46|9,70389364684489|11,66|9,9397775175343
19|9,36|9,01369973109279|14,61|8,87778651930247|11,66|9,49183967536657
20|9,52|8,84775017910365|14,29|7,8520723533319|11,82|9,18049222406045
21|10,67|8,59969052416187|12,15|8,35475938938981|11,66|9,44681802888001
22|11|8,60620309812615|14,61|8,36419637204962|11,66|9,30169662203962
23|10,67|8,63384941238965|15,11|8,52095849075477|11,82|9,05534268867714
24|11,99|8,96822008208948|15,11|7,47917301517787|11,82|9,20675788250524
25|12,15|8,87673949053227|15,44|8,292080195469|11,99|9,71147692666
26|11,66|9,17127099119115|14,61|8,41507047416435|12,15|9,40408969829959
27|11,33|8,98372580108319|13,96|8,50997697356552|12,48|9,04758219891193
28|10,84|8,95294313633769|14,45|8,09434840515226|12,48|9,1510309418647
29|11,49|8,75161385311201|12,15|7,63253313683388|12,15|9,02034863849462
30|10,84|8,9759873296585|12,97|8,44782234016265|12,15|9,14371183527283
31|11,17|8,70942449367188|13,46|7,47597206820473|12,81|8,95159185596723
32|11,17|8,64987079108938|13,3|7,54039487559984|12,64|9,13318763208421
33|10,51|8,76381719007983|12,32|7,55551141081967|12,48|8,62112972771886
34|10,51|8,69380671850262|12,48|8,00848294467911|11,99|8,811528764281
35|10,84|9,0747534069907|12,15|7,26432933707103|11,82|8,65272573912221
36|10,02|8,57531832921688|11,99|7,79410996693183|11,82|8,63135666848787
37|10,67|8,72540380266445|13,46|7,24297992740551|11,82|9,78759222476404
38|10,34|8,53773066202993|11|8,00366053468096|11,66|8,87251205667247
39|10,51|8,62812043193304|12,15|6,83412584596696|11,66|8,9629704659557
40|11|8,52553283571278|11,66|7,20128324668409|11,82|8,9177759792383
41|10,51|8,61571334639997|11,49|8,1266458836395|12,81|8,8131728648945
42|10,18|8,49840002564606|11,33|6,82408664572558|13,14|9,1316872296271
43|10,18|8,0866407526186|11,49|7,55384720741663|12,81|8,22295770080727
44|10,02|8,83030577767209|11,49|7,33851716515549|12,81|8,33847889109261
45|10,67|8,27185509793567|11|7,01243261764961|12,64|8,85043639280162
46|10,84|8,87229390316342|10,67|6,25273965837921|11,49|8,34756959857431
47|10,67|8,26679837044854|11,33|6,06931621748872|12,15|8,85024593167644
48|10,34|8,23441489857822|12,32|6,96529722971483|11,82|8,52423298346983
49|10,51|8,51431227413001|14,45|6,42666142928779|11,33|8,17167024473641
50|11|8,26384959810863|12,15|6,49766403258461|11,33|8,3983351307757
51|11|7,94547250413084|13,79|5,59210465939855|11,33|8,92487459345797
52|11,17|8,48807603110415|11,82|5,75854297948139|11,33|8,24024921844813
53|11|8,3345622896038|12,32|5,97785175654385|11,33|8,04988435694938
54|11,17|8,49028384709148|13,46|6,38797691061569|11,33|7,87339940242929
55|11,33|8,27766220069686|12,32|6,09252391171085|11,33|7,64141493492939
56|11|7,98903226634882|14,78|5,82426849075335|11,33|7,90043184485254
57|11,33|8,34416133244862|15,44|5,36152218156514|11,33|8,01449670182459
58|11,17|7,98802988304919|13,79|5,90136785320776|11,33|7,68560907893631
