sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|9,52|0|11,33|0|12,32|0
1|9,36|3,92498939772246|11,17|4,38406118986442|12,48|4,41318975804222
2|9,69|4,02338470036503|11,33|4,07564440872356|12,32|4,24335739087047
3|9,69|3,46602209137243|11,49|4,0660303619962|12,32|4,09802646804456
4|9,85|3,57418768623544|11,82|3,8917210104603|11,99|3,89277560985171
5|9,85|3,09597131625444|11,66|3,53910184277182|12,32|3,49872446595161
6|10,02|3,00450433693435|11,99|4,16534490566157|12,48|3,56538424144837
7|10,02|3,44390626045442|11,82|3,45843131207112|12,32|3,49749864554411
8|10,02|3,3519790690031|11,99|3,55157004989263|12,97|3,23091705718841
9|11|3,0516325536484|11,99|3,50096136373732|12,81|3,40120503654281
10|10,84|3,32049542703339|11,49|3,53224878050583|12,48|2,94073043783628
11|11|3,09691570704761|11,49|3,55144887917664|12,48|3,12770226724829
12|11,17|2,92680074886775|11,49|3,59418565875361|12,64|2,90163172578955
13|11,49|2,70653881343971|11,66|3,52514119228282|12,48|2,74442325626705
14|12,15|2,54067972116456|11,66|3,30730385188164|12,48|2,75551107079908
15|11,82|2,93870589198012|11,66|3,39125803694104|12,48|2,81598970533604
16|11,99|2,62441633834559|11,66|3,56161437367848|12,64|2,41529544324608
17|13,3|2,79324608827672|11,66|2,92638802220307|13,3|2,45399798083917
18|13,63|2,76834322926241|11,66|3,29754377321047|12,64|2,60554927137354
19|13,96|2,6201075089787|11,66|2,81823592233086|13,14|2,59701951701279
20|14,29|2,15078562815095|11,66|3,26159510598797|14,12|2,35002850151319
21|13,96|2,92675831573534|11,66|3,41191493084384|13,96|2,36011623688926
22|14,12|2,02941288291183|11,66|3,22968821786418|14,78|2,45872851758122
23|15,11|2,43079600568764|11,66|2,74614903228251|14,94|2,38652998562174
24|15,27|2,2353277311825|11,66|3,03859799739346|15,27|2,41715142043651
25|15,6|2,36757677707135|11,66|2,71259158659267|15,27|2,32591840431
26|15,76|2,22051029852216|11,82|2,6680197513558|16,09|2,14626850783896
27|16,26|2,31490974981499|11,82|2,09379399073809|15,93|2,44820004290687
28|16,09|2,37882065288969|11,82|2,50612013719665|17,41|2,23121282046812
29|16,58|2,59996838877213|12,15|2,47298472810376|17,9|2,05888013017148
30|16,91|2,13217142401757|12,32|2,28194005728721|18,23|2,11515609133433
31|17,08|2,3179598661287|12,32|2,28853196426128|18,06|2,16540072670041
32|17,08|1,82948141136962|12,15|2,45767643959454|18,06|1,9705837929652
33|17,9|1,90719677023049|12,15|2,39366525265334|18,23|2,06731625993923
34|17,9|2,24488330372092|12,32|2,54548840412772|18,56|1,88088336751582
35|18,06|1,86868611506103|12,81|2,29358360343515|18,72|2,26928119716421
36|18,56|2,2642803734796|12,48|2,26894781525396|18,88|2,02606554896341
37|18,56|1,76750490698809|12,15|2,42934940245735|19,05|1,76454635635473
38|18,88|1,9760263319589|12,32|2,29778107233144|18,88|2,09213931448681
39|18,88|2,23861315229714|12,15|2,19906423468508|19,54|2,05310657901626
40|19,05|1,74933022792254|13,3|2,01298964986335|20,2|1,6373009558696
41|19,21|1,80723512561854|13,3|2,46154185728587|20,36|2,1853306995063
42|19,05|1,88345774836097|13,79|1,82658152678072|20,69|1,91066063424018
43|19,21|2,16359087377233|14,45|2,15576250133374|21,18|2,00729096306814
44|19,38|1,80918283105194|14,94|1,98654780765326|22|1,98517442480242
45|19,87|1,83640097383349|15,44|1,79870105449143|21,67|2,18597405267751
46|19,87|1,89807744300393|15,76|2,13169317200673|21,84|2,18638341915052
47|20,03|1,83579316585912|15,44|1,90796357528859|22,17|1,76279103964239
48|19,54|1,71197769715113|15,11|2,14549879740729|22,5|2,14085252425841
49|19,7|1,87291539047059|14,94|1,88117951592698|22,33|2,02481514567031
50|19,87|1,76965309655831|14,61|2,13592637370517|22,17|2,07355149564785
51|20,36|1,87219912215065|14,45|2,20208537849317|21,84|2,04309801215729
52|20,36|1,84122543490099|14,78|1,86055482555818|22|2,00462029997555
53|21,18|1,95065069475928|14,61|2,17652605105719|22,33|1,93890510966543
54|21,02|1,87854762782363|14,61|2,00022803261832|22,33|1,7942995752476
55|21,18|1,83388852449487|15,11|1,69950310809336|23,32|1,71384645887183
56|21,35|1,71960167822976|14,78|1,63425624952304|22,99|2,01135258583407
57|21,35|1,88792563452106|14,61|1,97080534356888|22,82|1,75564334763661
58|21,51|1,78643748528712|15,27|1,82992734393371|23,15|1,72246640287317
59|21,84|1,67805007684009|14,94|1,86614389191731|23,15|1,79075277969973
60|21,67|1,70784914661674|14,61|1,63165560293114|23,15|1,78820982814063
61|22|1,68932608396701|15,44|1,81278314287462|23,65|1,92903503919917
62|22,17|1,74966731344525|15,27|1,75400915386014|23,48|1,74049486050162
63|22,17|1,81372191534697|15,11|1,96922743256238|24,3|1,87305171834431
64|22,17|1,59294836528473|15,44|1,70100852807796|24,3|1,68390480669087
65|22,17|1,70176015431863|15,6|2,03548621107487|24,47|1,95693618064305
66|22,33|1,78095447471961|15,93|1,78856612161626|25,62|1,59514485969909
