sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|9,85|0|11,17|0|7,39|0
1|10,02|8,75955759256416|15,11|8,70623995849105|7,55|8,96645196460439
2|9,2|8,44864630390486|15,11|7,73275037295848|9,36|8,30980134767194
3|11|8,06402269755768|13,3|8,20994423254048|8,7|7,80204948403694
4|9,69|8,43845094374592|14,29|8,1879252279971|8,7|8,8512519052308
5|10,67|7,91003798520758|13,14|7,9587256417106|8,37|7,21653740333237
6|11,82|7,93208489457447|13,3|8,29009994520005|12,15|8,5349799282121
7|11,49|7,79910716058595|14,45|8,16620258285488|11,17|7,16694474182845
8|11,66|7,84576295748633|15,44|8,04501271214898|12,15|8,10666209890261
9|11,17|7,02348261945249|16,75|7,78763035870243|13,63|7,45729973148718
10|13,14|7,42781953175292|15,93|7,44909127652298|15,27|7,54729240880493
11|15,6|7,63460928182317|17,41|8,24301811877048|13,79|7,57868471017672
12|17,57|7,14526697103884|17,08|7,65087491007394|12,81|7,44042243753706
13|18,72|6,90539653547675|17,08|7,82244891102333|13,3|7,15134684205985
14|16,09|7,11780313194186|15,44|7,65441797161754|15,6|7,36018253337788
15|19,7|7,55286462510588|15,6|7,24025786996686|14,61|7,49825711714228
16|17,08|7,20793719936431|11,49|7,60223925297987|14,61|7,2672386603472
17|17,73|7,54150899852479|13,14|7,93519771093089|13,3|7,91907747424101
18|19,7|7,09930808450284|14,12|6,88690241715685|11,82|7,57624213861138
19|22,99|7,39064536766403|16,91|7,55946333382178|14,29|7,4640188935652
20|23,81|7,31731884450299|15,27|7,38430740416455|14,45|8,17955976649695
21|18,72|7,84650777236934|15,44|7,69695786729772|14,12|7,63710413958788
22|18,72|7,40928752166416|15,27|7,02626900074327|12,81|7,49272401505486
23|19,05|7,23379566537424|15,6|7,8716349759387|14,29|8,05743669765907
24|19,21|6,4611664624597|16,09|7,22400149832787|13,96|7,50589878300283
25|23,32|6,87158751059509|14,78|7,43645423286002|13,46|7,38950730750912
26|20,53|7,42679760244665|13,14|7,41244313931562|15,6|7,46247042827938
27|21,02|6,91413398113523|11|7,30068826045221|15,76|7,59480293506705
28|23,65|6,73691741533403|14,61|7,69302217254852|16,09|7,04554389914874
29|23,97|7,32750384775018|16,58|7,74876704728162|19,54|7,65103675863542
30|25,45|7,05667954454746|17,73|7,38081886304598|18,06|7,8584305003842
31|24,63|7,27053670347026|19,87|8,02384950625236|17,73|7,74990496517893
32|25,29|6,94447479286262|27,42|7,91703054231073|17,73|6,90253951359394
33|24,47|6,02429564325295|22,33|7,30313344705054|20,36|7,06897626323696
34|26,77|7,1209301145914|17,9|6,61628192506335|21,67|7,42094130087908
35|26,44|7,12708201534362|21,02|7,31447870603516|22,66|7,76664877823753
36|23,97|6,21437495601452|23,81|7,23777836139629|24,14|6,59475633403938
37|25,94|6,89838439687021|20,2|6,66290508938953|23,15|7,3222428284986
38|27,09|6,78124373502096|19,7|6,97475095356052|22,33|7,54823582393075
39|26,11|6,83197129863652|22,99|7,07135258796739|23,97|6,40680781741779
40|28,9|6,12361667664661|26,77|6,92495187402957|25,12|7,07114574318215
41|23,81|7,02359343154606|21,67|6,83019404472678|21,67|6,39510652002023
42|28,41|6,88976748660784|23,48|6,98148741769528|22,33|7,41641682111791
43|28,08|7,13618305355579|21,84|7,17793866799711|19,87|6,90459718478409
44|26,11|6,23863985037126|22,66|7,1176840718317|21,67|7,14383081436484
45|31,2|6,64621736766306|27,59|7,40479027742984|22,99|6,66514982088123
46|31,2|6,86741505472244|27,91|6,70796067796809|20,69|6,36600579295136
47|32,84|6,95538883823456|28,9|7,00981684036282|21,02|7,28715620971249
48|32,84|6,66443016493521|28,41|7,30917780888602|25,78|7,04148825854955
49|34,98|6,27499368722575|25,45|6,48849647711252|23,81|6,92295878311372
50|35,47|6,60032456718585|27,59|7,10983534124079|22,82|6,63156984383115
51|35,3|6,22415690274868|30,54|6,83317744467828|24,47|6,93786793269214
52|34,65|6,42722368033491|30,05|7,31835575993455|21,18|6,53424180834004
53|33|6,83521196413777|32,35|6,35075561727514|24,96|6,5304744880091
54|33,17|6,16100243682215|28,08|6,9559851098966|25,29|6,52795199884722
55|32,35|6,52444623060942|26,93|6,35299893358892|22,99|6,35990116467001
56|35,8|6,48356000446181|25,62|6,92904891623683|21,84|6,90551432412755
57|36,12|5,9775343856236|24,47|6,9422231930858|27,42|6,80755993622558
58|31,69|6,63514271226686|27,59|6,738716287713|27,75|6,47369559353785
59|28,08|6,31997564149333|29,23|7,33586421381062|29,06|6,97234989471594
60|34,15|7,03527548668581|30,87|6,68306053814455|30,05|7,10312032789316
61|36,12|6,16254389515347|32,18|6,33624537590247|27,75|7,65123131785254
62|33,17|7,001824593935|33,33|6,35869548924857|27,91|6,6029585228754
63|37,27|6,73229162723412|36,29|6,67818202478238|27,75|6,50879454574009
64|33,83|6,45634875036551|36,12|5,91345202888291|32,35|7,09393027065981
65|36,95|6,94405778429696|29,39|7,02498487995121|30,87|6,88406078936278
66|37,44|6,09356584150923|31,53|7,01898168550273|32,18|6,61543771327988
67|39,57|6,22709562414007|35,63|6,69098310811147|31,03|6,79069384352078
68|37,6|6,126621876662|30,87|6,99570217698865|33,99|6,63790979276253
69|37,77|5,75002968303261|35,96|6,92761719994041|34,81|6,66785213868576
70|38,75|6,33796884506402|38,42|6,70214698837598|31,03|6,0581452332688
71|34,81|6,26747253801245|36,12|6,12711099220262|31,03|6,77951865045655
72|36,78|6,55878892817401|37,11|6,18503953725097|30,87|7,21254877214672
73|35,8|6,37797007038576|40,23|7,0188072527007|33,83|6,20201612129259
74|39,08|6,41879582138871|39,08|6,42180118921081|34,48|7,53017324607408
75|38,42|6,01934286358407|38,59|6,06393496537076|37,27|6,83122606438659
76|40,89|6,09754894112986|40,72|6,38737390148217|35,8|6,6162409078145
77|40,56|6,10427837922966|31,86|6,56808364184525|31,03|6,10695152069691
78|42,86|5,55911904970945|34,65|6,31279982784083|31,53|6,58050145270447
79|40,72|6,36267642015635|34,81|6,82246627126374|33,83|6,57148643624267
80|41,87|6,25367864711818|34,81|6,36908837249938|33,5|6,16728649719389
81|41,71|5,54807165288902|34,15|5,50471465201794|31,86|6,44145112491847
82|41,22|5,92509091052878|33|5,88486714291764|33|7,02639364836296
83|40,72|6,28169711806424|39,9|5,76322567814001|33|6,52421215467488
84|39,41|6,49407756708154|38,59|5,534637468622|34,81|6,56244382449063
85|41,38|6,11400939127242|37,93|5,79093944474742|35,14|6,54941922447993
86|42,04|6,2552896446829|39,57|6,20800715697643|34,32|5,66951273232053
87|41,22|6,24876970308462|40,23|6,33465652446073|32,51|6,35273557553858
88|38,1|5,91307037187831|39,41|5,74100052817359|34,81|7,02115497208808
89|42,36|5,68629957681207|38,26|6,02079409788312|35,3|6,14960610350962
90|38,1|5,44783742535602|33,83|6,93360774117423|32,35|6,27451131326423
91|40,39|5,77695118497709|37,27|6,23956280915725|32,68|6,04865051606372
92|42,04|5,40158369445126|42,86|6,14864926757201|33,99|6,54237371155988
93|40,39|5,96925872686233|37,27|6,01963042626106|35,3|5,97114749100217
94|40,39|6,61224045719039|39,9|6,65699148852769|31,03|6,70511857759965
95|41,05|6,4722431657749|42,2|6,39431051883913|33,83|5,3492337869254
96|42,69|6,26535385803323|41,05|5,93594445680804|36,12|6,02008033586522
97|42,53|5,74807630219496|39,74|6,31780763113305|35,47|6,54517419570516
98|43,19|6,35026694762684|45,16|6,21391581506838|34,65|6,26864434628769
99|41,87|6,35695155044859|46,8|6,01854931317115|37,44|6,2518079228231
100|43,84|5,73256740447927|44,66|5,76558563072571|37,77|5,18890994810272
101|42,04|5,49204374311465|36,62|6,13877730228586|39,08|6,0925019585693
