epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg eval;avg error
0;12,32;0;6,73;0;12,48;0;;10,51;0
1;11,99;4,731592561;6,57;6,583103928;12,48;4,141045502;;10,34666667;4,299062977
2;11,99;4,610187536;6,9;6,194436983;12,81;4,306048212;;10,56666667;4,74352578
3;11,33;4,230164168;7,88;6,226047289;12,97;3,839015142;;10,72666667;4,386635678
4;11,82;4,636524849;7,06;6,184527852;12,81;4,427228102;;10,56333333;4,665287852
5;11,82;4,966422892;7,39;5,783874091;12,81;3,483093674;;10,67333333;4,343631874
6;11,66;3,548741375;7,72;5,45931127;12,97;4,0535211;;10,78333333;4,366863781
7;11;4,002643865;8,05;5,161484319;12,81;3,650693882;;10,62;3,879602112
8;11;3,521648268;8,54;5,188238818;12,81;3,504941446;;10,78333333;4,184267919
9;11;3,765191968;9,2;4,567682083;12,81;3,396526778;;11,00333333;3,912877248
10;10,67;3,312707475;9,85;4,729672357;12,81;3,160061918;;11,11;3,515056971
11;10,84;3,790727031;10,02;4,640714141;12,81;2,975509592;;11,22333333;3,82162276
12;11,17;3,008370993;9,69;4,364998994;12,81;3,090481269;;11,22333333;3,598633788
13;11,33;3,099894453;9,85;4,383395288;12,81;3,215397079;;11,33;3,409454501
14;11,49;2,440517027;10,34;4,278214652;12,64;3,24093339;;11,49;3,275529311
15;12,48;2,420748957;10,51;4,038491341;12,64;3,224053783;;11,87666667;3,218702657
16;13,63;2,775034183;10,51;3,884454922;12,64;3,084066348;;12,26;3,655797859
17;13,79;2,352026345;10,18;3,831974701;12,32;2,625108824;;12,09666667;3,243697535
18;13,79;1,944378389;10,51;3,98926953;12,48;3,257299576;;12,26;3,16386142
19;13,3;2,379120852;10,67;3,209368019;12,48;2,615727432;;12,15;3,159152559
20;13,46;2,467574998;10,84;3,01710906;12,48;3,020334112;;12,26;3,560724497
21;14,94;1,895988788;10,51;3,571814564;12,48;3,079873417;;12,64333333;2,927567241
22;14,61;1,575673958;11,17;3,731097554;12,48;3,360954717;;12,75333333;3,195712912
23;14,78;1,597607428;11,17;2,945606991;12,48;3,027726155;;12,81;2,948563737
24;14,94;2,080055021;11;3,45025868;12,48;3,037939757;;12,80666667;2,840183784
25;14,78;1,450441886;11;3,059204838;12,48;2,752975421;;12,75333333;3,02444014
26;15,11;1,541981388;11,33;3,121519546;12,48;2,854627356;;12,97333333;2,598998141
27;15,76;1,591023296;11;2,875503366;12,48;3,037783452;;13,08;2,957023551
28;15,6;1,364006439;11,17;2,819588081;12,48;2,63856022;;13,08333333;2,714176893
29;17,08;1,570907443;11,17;3,180563695;12,32;2,902828455;;13,52333333;2,77264739
30;17,57;1,428619385;11;3,051001287;12,32;2,80755705;;13,63;2,423519022
