epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2
0;10,84;0;7,55;0;11;0
1;10,67;5,233432446;7,88;5,968817185;8,37;4,162352255
2;11,33;3,581569805;10,02;3,735138532;8,54;3,073053723
3;11,33;3,254594908;10,34;2,124061353;9,2;2,591872178
4;11,33;2,986514168;11,17;1,946254892;15,76;1,853558508
5;11,33;2,417723333;13,96;1,85923463;13,63;1,424948892
6;11,33;2,6929058;15,44;1,488652991;13,96;1,187654114
7;11,33;2,121180687;17,08;1,076626163;14,12;1,247759116
8;11,33;2,383059081;18,88;1,217395932;15,76;1,117141501
9;11,33;2,285638782;20,03;1,054137694;18,72;0,939888456
10;11,33;1,920009608;20,03;1,266999157;18,72;1,033030071
11;11,33;1,844930358;20,53;1,064526278;18,39;1,06662218
12;11,33;1,87898069;21,02;1,061801451;20,36;1,065841958
13;11,33;1,912420481;22;1,04642502;19,7;1,275550017
14;11,33;1,820074931;22,17;1,042174682;20,2;1,124255209
15;11,33;2,393205745;25,94;1,021449748;21,51;1,147402219
16;11,33;2,132221757;27,59;1,095946336;21,35;1,068752793
17;11,33;1,964495614;26,27;1,012943736;22,99;1,041193513
18;11,33;2,009344076;26,27;0,929297075;24,14;1,094349073
19;11,33;1,992463735;27,91;1,389961858;24,63;1,087567154
20;11,33;1,798713847;29,23;1,047375052;24,14;1,20574414
21;11,33;1,740762291;28,74;1,046503736;24,47;0,960896422
22;11,33;2,040542777;28,41;0,92530523;26,11;1,023745171
23;11,33;1,241138128;28,57;0,909405512;25,62;0,980226467
24;11,33;1,262961436;28,9;0,867280354;28,74;1,001968062
25;11,33;1,701351272;27,42;0,972046269;28,9;1,079147414
26;11,33;1,695084034;29,39;1,130632649;28,57;1,01566848
27;11,33;1,562888418;30,87;1,045934417;30,38;0,867506673
28;11,33;1,782963122;29,39;0,773314491;25,45;1,041103479
29;11,33;2,103612768;29,23;0,78151118;27,09;1,143706232
30;11,33;2,044791407;31,53;1,018171252;25,94;0,917522686
31;11,33;1,912130447;31,03;0,958408202;28,41;0,925748448
32;11,33;1,625343998;32,02;1,219664955;31,36;1,063485462
33;11,33;1,937190553;33,5;0,850990734;32,18;0,8998984
34;11,33;2,050899326;34,15;0,988964372;31,69;0,657685645
35;11,33;1,868303713;33,99;0,747108336;33,83;0,904416487
36;11,33;2,103244303;31,53;1,078313291;34,32;0,975505064
37;11,33;1,719921055;37,27;0,863852805;34,48;0,824262523
38;11,33;1,457162629;36,45;1,016382313;34,98;1,026016284
39;11,33;1,561450553;38,75;0,986713029;35,96;1,038979749
40;11,33;1,560717451;38,1;0,625122434;35,47;0,907227498
41;11,33;1,776107758;39,9;1,122558716;34,48;0,944954689
42;11,33;1,789790004;39,9;0,833576168;36,78;1,001345818
43;11,33;1,909118142;39,9;0,951484443;35,47;0,830955382
44;11,33;1,260440034;41,05;0,93765186;34,81;0,723087114
45;11,33;2,076631582;42,2;0,794462948;34,65;0,932006452
46;11,33;1,751714123;43,02;0,98623007;35,3;0,388604009
47;11,33;1,53651654;42,36;0,655329979;33,99;0,966812907
48;11,33;1,669389969;41,54;0,756063269;34,98;0,896729815
49;11,33;1,929385262;40,72;0,915721198;38,1;1,066268522
50;11,33;1,284822567;41,87;0,552692792;37,6;0,581251724
51;11,33;1,339887156;41,38;1,041662506;37,93;0,663420742
52;11,33;1,476681752;41,71;0,827617169;38,26;0,792856625
53;11,33;1,829587908;43,02;0,84188903;37,27;0,863553568
54;11,33;1,744455746;44,17;0,963046119;38,26;0,847618957
55;11,33;1,720396542;43,19;0,548517924;38,59;0,875637018
56;11,33;1,844419878;42,53;0,843006391;38,42;0,949777393
57;11,33;1,365240236;40,39;0,940333327;37,77;0,998903755
58;11,33;1,439420297;42,04;1,025678229;37,93;0,778504513
59;11,33;2,066813825;44,17;0,908486179;38,26;0,968673628
60;11,33;1,354413987;43,68;0,673140622;38,26;0,842437079
61;11,33;1,495948737;44,99;1,238165179;39,57;0,826963026
62;11,33;1,500514258;45,48;0,939934136;41,71;0,876892652
63;11,33;1,708323319;45,65;0,785611705;40,89;0,977235091
64;11,33;1,581984499;46,14;0,769673575;41,38;0,736355657
65;11,33;1,838569776;45,81;0,582824106;41,54;0,785131864
66;11,33;1,823935913;46,14;0,685765955;41,54;0,767828601
67;11,33;1,444971018;44,99;0,843654134;40,39;1,113096792
68;11,33;1,84246419;45,32;0,39592678;41,05;0,847149424
69;11,33;1,978168045;45,81;0,890856133;42,04;0,875762903
70;11,33;1,774856364;46,8;0,585572916;41,87;0,779697225
71;11,33;1,446690087;45,48;1,042396087;42,04;0,631082443
72;11,33;1,334209931;47,13;0,517117111;42,69;0,976515122
73;11,33;1,717792669;47,45;1,092891577;45,48;0,925709249
74;11,33;1,448349825;47,95;0,38293001;47,29;0,696562099
75;11,33;1,751258362;47,45;0,385959613;44,5;0,734444432
76;11,33;1,71196656;47,29;0,882912533;45,81;0,952142707
77;11,33;1,47923248;47,45;0,680447954;46,14;0,74627877
78;11,33;1,503459735;48,44;0,852790175;46,14;0,841916935
79;11,33;1,671737196;48,11;0,856144018;45,81;0,804140849
80;11,33;1,525416192;47,78;0,592354941;46,8;0,822133002
81;11,33;1,653954782;47,95;0,683917032;48,11;0,68269055
82;11,33;1,552278723;48,11;0,696299827;48,44;0,847141502
83;11,33;1,038318375;48,28;0,655590597;47,95;0,593290025
84;11,33;1,569184011;48,6;0,604563606;48,11;0,923549946
85;11,33;1,135937116;49,1;0,612031422;49,1;0,988999473
86;11,33;1,423545434;48,6;0,420637195;49,92;0,946875587
87;11,33;1,910499127;49,1;0,844206975;50,9;1,067960142
88;11,33;1,665671402;48,77;0,897091642;51,56;0,858973555
89;11,33;1,952270569;48,77;0,559560497;50,9;0,43910968
90;11,33;1,924120847;50,08;0,769451104;51,07;0,790043526
