epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg e
0;13,96;0;8,05;0;11,33;0;;
1;14,29;3,795217313;7,72;6,940025677;11,33;5,663527947;;
2;13,96;3,910520276;7,39;5,74046573;11,33;6,09166729;;
3;13,46;3,223634591;7,39;5,524368842;11,17;5,225327665;;
4;12,64;2,650710093;7,39;5,511792425;11,17;4,702249336;;
5;12,48;3,235724087;7,06;5,377013512;11,17;4,143143166;;
6;11,99;2,668258702;7,22;4,384472458;11,17;3,94129338;;
7;12,32;2,656534432;7,22;4,319465452;11,17;3,957763247;;
8;11,99;3,360235415;6,24;3,475131511;11,17;3,292287508;;
9;11,82;2,488147363;5,58;3,65423296;11,17;3,325532644;;
10;11,33;2,549931271;6,4;3,524366538;11,17;2,960368152;;
11;11,33;2,572110171;6,9;2,372960015;11,17;3,359688913;;
12;11,33;2,251610533;6,57;2,973743163;11,17;3,008800983;;
13;11,33;2,59068348;6,9;2,395976945;11,17;3,369683955;;
14;11,33;2,087291586;7,22;2,486731381;11,17;2,697699128;;
15;11,33;1,732585864;7,55;2,493893322;11,17;3,355853058;;
16;11,33;2,237004201;9,2;2,138309849;11,17;3,059708297;;
17;11,33;1,982781627;9,69;2,212055065;11,17;2,619672304;;
18;11,33;1,912409937;10,02;2,047803891;11,17;2,312701218;;
19;11,33;1,619880488;10,51;1,745467765;11,17;2,741950915;;
20;11,33;2,095424286;12,15;1,78739217;11,17;3,250062922;;
21;11,33;1,637018357;12,15;1,510355453;11,17;3,024368379;;
22;11,33;2,053249837;12,64;1,748245712;11,17;2,790709631;;
23;11,49;1,726374565;13,79;1,871500572;11,17;2,977970916;;
24;11,49;2,12888034;14,29;1,512832067;11,17;2,785186806;;
25;11,49;1,677522779;13,96;1,376711926;11,17;3,043438909;;
26;11,33;2,076959353;15,11;1,352212504;11,17;2,155579255;;
27;11,33;1,900458995;15,27;1,338065064;11,17;2,894422211;;
28;11,33;2,138527379;16,42;1,321870005;11,17;2,677316148;;
29;11,33;1,910301166;16,91;1,526534793;11,17;2,758708482;;
30;11,33;2,102479508;17,9;1,359981741;11,17;2,239336592;;
31;11,33;1,972140969;17,9;1,397327201;11,17;3,136212964;;
32;11,33;1,595258858;18,56;1,169944908;11,17;3,016040416;;
33;11,33;2,240696649;18,39;1,336356283;11,17;2,727753683;;
34;11,33;1,535547774;19,38;1,218591817;11,17;2,813511583;;
35;11,33;1,943825796;19,7;1,262147506;11,17;2,760451698;;
36;11,33;1,781400409;20,2;1,454185151;11,17;2,926131782;;
