sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|9,85|0|11,33|0|10,67|0
1|10,67|4,22823878435377|9,69|3,53416789661486|11,66|5,44208281973973
2|12,64|3,5074694436471|11,82|2,51853785217309|11,82|4,48366752943298
3|17,9|2,56274664710705|13,14|2,28485119778149|12,15|4,3672610230727
4|16,26|2,85030029562045|15,27|1,9941443590395|11,82|3,06735622136655
5|15,76|1,99011599488033|15,27|1,4222924035546|11|3,09445568042457
6|18,56|1,81568487791105|16,75|1,48613841970026|11,82|3,27504788817263
7|21,51|1,17931305299931|17,73|1,24750553897269|11,82|2,34916334717378
8|21,51|1,88110380146818|19,05|1,45718810548947|11,82|2,05645701334193
9|21,35|1,4017186059245|23,15|1,50834067566993|11,66|1,93051060088016
10|19,38|1,4094448799992|21,02|1,43866014499678|12,48|2,09905268643536
11|20,85|1,65396498002457|21,02|1,38806721948201|14,12|1,55460939390124
12|22,17|1,30319214851761|21,35|1,34391570208015|14,78|1,8502176512475
13|22,5|1,3031063814561|21,67|1,13711503689691|15,93|2,24069370742589
14|22,66|1,14802362468485|22,17|1,16034107280003|16,91|1,49263058720483
15|22,66|1,16109908998778|23,32|1,19613502272351|18,56|2,06593942982559
16|22,82|0,882403935397632|24,14|1,06630591772287|19,38|1,42308903719198
17|22,99|1,31580756914696|25,45|1,21859680686071|20,69|1,30357818112678
18|22,5|1,09613757245374|26,6|1,28570468681958|18,72|1,96216588222496
19|23,32|0,951775988580537|26,93|1,03717910227852|21,02|1,5424618629142
20|25,45|1,24340119869099|28,57|1,09284927871382|22,66|1,54626004385213
21|26,11|1,13437076819877|28,9|1,13331374137715|28,24|1,59998298070503
22|26,27|1,00680742846102|28,57|0,813330015399279|31,86|1,24938497394799
23|26,11|1,02661361801009|29,06|1,14779021976129|34,81|1,26312462906276
24|27,09|1,12788485202867|29,72|1,13225639575112|35,14|1,35046704315308
25|27,59|1,14290877450428|29,39|1,33136170913452|35,8|1,35008854051627
26|27,91|1,1732543465611|30,21|1,33073148168472|37,93|1,39114521856767
27|26,93|1,24314380315753|30,38|0,985658948995204|38,42|1,00704950776179
28|26,6|1,07709691152808|31,36|0,931458153586329|39,57|0,968540702527945
29|26,77|0,999203603089717|30,87|1,14503506049548|39,41|1,03189596872943
30|29,39|1,15064243856249|31,2|1,03992918966873|40,39|0,987539570804551
31|31,2|1,07646591055966|34,15|1,03135037661772|39,41|1,09155567087324
32|30,87|1,13417683212343|34,65|0,919202627471853|41,54|1,32701816665483
33|30,54|0,921490122168318|35,3|0,812380018783318|42,04|1,03994706696225
34|30,71|1,0428484388841|34,98|1,09967237253943|43,51|1,03612873595555
35|31,36|0,90748379631654|34,98|0,883514028534493|44,5|0,951194414519994
36|32,68|1,09509338586259|35,14|1,0021703834931|44,5|1,14130524584137
37|32,68|0,934092130873266|36,12|0,879821829691203|45,81|1,02347602985046
38|33,17|0,974959572348036|36,45|0,884852287154056|47,29|1,3073068019296
39|32,68|1,03883174654052|36,78|1,19021171713734|47,62|1,1724526103094
40|32,68|0,827020279217863|36,78|0,94586655043317|48,28|0,96139152721078
41|34,65|0,963002317614429|37,27|1,03179967496522|48,11|0,973119002057929
42|35,3|0,928882801210494|37,11|1,01947006032638|47,62|0,871584865858643
43|35,8|1,27275543285724|37,77|1,13667355541953|47,62|1,06120699995681
44|34,81|1,28008630344675|37,93|1,07760950770287|49,26|1,19217565608729
45|35,8|1,15193381254254|38,42|0,844746729619163|50,41|1,43652633867924
46|35,96|0,742703317789233|38,92|0,69850616441068|51,07|0,851604647393978
47|36,62|0,85719331050868|39,74|0,624151149701323|51,07|1,13477267680352
48|37,27|0,951323068026533|40,07|1,01461563957861|52,87|1,20013647957638
49|36,62|1,00664828395528|39,24|1,18743034310536|53,37|1,07266569099605
50|37,77|1,06446327969529|39,9|0,923669804070061|53,53|0,838692024892388
51|38,26|0,817088066673591|39,74|0,924450851634629|53,37|0,790786591232637
52|38,42|1,03796771187932|39,74|0,923361634703601|53,37|0,996160278278196
53|38,42|1,28146277143273|40,72|1,18057556053726|54,19|0,849537537340025
54|38,75|1,03482661112281|40,56|0,870937114986792|55,34|1,14517402654689
55|39,41|1,07310980764673|40,56|1,00833294180722|56,49|0,881418814631083
56|39,57|1,09972294075479|40,89|1,21743126266268|55,01|0,855663517318628
57|39,74|0,917431486861235|41,87|0,914611469865317|54,68|0,745403543290937
58|40,23|1,34470839656306|41,22|1,06339464052337|55,83|0,643963008073254
59|40,07|0,999418221615062|42,04|0,940857300575794|57,64|1,01601395218383
60|40,39|0,944490855152447|41,87|0,882017252735247|58,13|0,859282141834616
61|40,56|0,979240761677657|41,71|0,996637908006684|57,14|1,03596179529498
62|40,89|0,864235454593543|41,54|1,05672039762128|58,95|0,728306379522764
63|41,71|1,02371173014446|42,36|0,949827386019883|58,46|0,682789282548003
64|42,2|0,831719847345921|42,04|0,899984536046757|56,65|0,685136697144553
65|41,54|0,996509178118305|41,71|1,03691894941735|57,47|0,762878877067746
