sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|11,33|0|7,39|0|7,39|0
1|11,33|4,7314339953073|7,39|6,01265110405587|7,39|4,01568353576533
2|11,33|4,67408230969842|7,39|6,06564787208538|7,39|3,73811484882884
3|11,33|4,60080111019199|7,39|6,07929118074181|7,39|3,35980586046319
4|11,33|5,03458236874164|7,39|5,67499867439123|7,39|3,75364275601075
5|11,33|4,36392625052788|7,39|6,12197372558314|7,39|4,02108282519695
6|11,33|5,0385087868258|7,39|5,95119250262697|7,39|3,96080415499621
7|11,33|4,97236206470187|7,39|5,99293568106032|7,39|3,75976136827752
8|11,33|4,49092756007836|7,39|5,77512003156286|7,39|3,80029213663464
9|11,33|4,52297315526563|7,39|5,67338279406166|7,39|3,59384047574999
10|11,33|4,62137278318463|7,39|5,80203372544699|7,39|3,52572383606161
11|11,33|3,72853670861128|7,39|5,57087717010436|7,39|3,59069142477698
12|11,33|4,54159701939222|7,39|6,03463046183719|7,39|3,59659754532575
13|11,33|4,67564399757995|7,39|5,54322773914577|7,39|3,34573387740668
14|11,33|3,99177054526218|7,39|5,61971042318752|7,39|3,37162031127497
15|11,33|4,42395284366205|7,39|5,76943869411717|7,39|3,33053108476919
16|11,33|4,07993259099715|7,39|5,53073745210746|7,55|3,29918647162642
17|11,33|4,12933355256762|7,39|5,17308048494445|7,72|3,30821726482791
18|11,33|4,15870159226955|7,39|5,54840670783238|7,72|3,38042075607083
19|11,33|4,21545836010864|7,22|5,41852972315905|7,72|3,1808396440067
20|11,33|3,95789060935649|7,22|4,82114521965287|7,72|3,24049975207134
21|11,33|4,07548136710775|7,22|5,16811457833668|7,72|3,16510595074973
22|11,33|4,15668243400081|7,22|4,9672124553501|7,72|3,29546793479349
23|11,33|3,89504808021876|7,22|5,19289581364175|7,72|3,15292232534241
24|11,33|3,6968306188236|7,22|5,20971569836499|7,72|3,10736346043468
25|11,33|3,98702108141413|7,22|5,30306669072204|7,88|2,80933013773384
26|11,33|3,43758508161344|7,22|4,5832532037274|8,05|3,01447303100228
27|11,33|3,7442434278779|7,22|5,24676922630478|8,05|2,82281083250464
