sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|12,32|0|9,2|0|8,37|0
1|12,32|4,49558122006818|10,51|4,89357756124832|15,6|3,44989845815647
2|11,17|3,81634191731215|12,32|3,59146839773274|14,45|2,45330554536741
3|11,17|3,1574178544923|16,42|1,92138622197815|21,67|1,8979701100963
4|11,17|2,61902127592069|22,5|1,8042669927643|22,66|2,02790105241873
5|12,15|2,75605479199173|22,82|1,90610751651008|24,79|1,56534093327645
6|17,9|2,63073637231102|25,62|1,96923900145959|23,81|1,56488161670787
7|18,23|1,95301200518335|26,11|1,84568229472844|22,17|1,40470717720439
8|20,53|2,12211893115462|27,59|1,84614000488583|28,08|1,68003072248517
9|18,72|1,84990038429489|28,24|1,77379126207272|28,41|1,22426029995965
10|19,87|1,55351163480829|30,05|1,49813937367534|28,41|1,64005234436243
11|20,2|1,45046465086308|30,21|1,59950447282158|30,87|1,66159128621612
12|25,45|1,69553307349182|33,5|1,61274604903662|31,69|1,51730002061407
13|26,11|1,53945412649531|36,62|1,91921086335729|32,18|1,54136031376576
14|26,11|1,48856954222266|34,98|1,6022414759358|23,65|1,21943747368842
15|26,11|1,64499095708161|39,08|1,78038086972118|34,65|1,6494483588952
16|26,77|1,62132696694909|40,56|1,58167130812762|37,6|1,3141277588575
17|32,35|1,7648838042834|36,62|1,43771523921269|36,95|1,4537466477201
18|31,53|1,28605368776229|38,92|1,80066418591769|37,11|1,27234161748004
19|33,5|1,48964550835942|43,35|1,34898090674809|37,27|1,10923914611902
20|35,96|1,65364140799277|44,5|1,53406793202773|37,77|1,24614721175209
21|33,99|1,4260967314389|48,28|1,74395975771159|36,78|1,25089231512169
22|34,15|1,31744565757333|48,11|1,40801818403758|38,26|1,51946737034312
23|41,38|1,54937688411994|48,6|1,51069945030237|42,53|1,51879932066035
24|44,33|1,64602579238941|47,45|1,6116580626848|43,19|1,35690735436088
25|44,83|1,43653463014963|48,77|1,57690684587472|41,38|1,53367329837739
26|46,63|1,471288672516|50,08|1,27030627170389|46,47|1,22157131684049
27|44,17|1,33924837436866|53,2|1,74664135306098|46,31|1,47988970743213
28|46,47|1,62514980701594|51,72|1,47502798116359|45,81|1,42523843127578
29|49,75|1,61629176389264|52,55|1,57335207713775|47,62|1,21529914494445
30|47,78|1,56062020160738|54,68|1,35704420441454|49,1|1,29048939591406
31|48,11|1,41321908598881|55,5|1,5580569363684|49,26|1,35052968837454
32|49,26|1,57018668985108|54,84|1,31708829452199|49,59|1,33034254647035
33|48,28|1,56867391790304|53,69|1,29412753120638|49,92|1,23396209250851
34|49,43|1,37399972837091|55,83|1,54597018245144|49,92|1,39549296802478
35|48,11|1,43825286316336|56,49|1,55821101564669|51,07|1,53543892254863
36|53,04|1,57975052016114|57,64|1,2639079874315|51,56|1,4728212543184
37|54,68|1,52275305341589|58,95|1,24038563121166|52,55|1,19240270977392
38|56,65|1,53878195505841|57,96|1,31956836124563|50,9|1,33395773568018
39|55,67|1,18623927471502|60,26|1,4496138935674|52,71|1,36040646978169
40|54,68|1,32587932728388|60,92|1,23260138590593|52,87|1,15119422365625
41|57,96|1,45872419083539|62,23|1,38638784114752|54,02|1,19570037450103
42|55,5|1,29267182645927|64,04|1,48647395467511|55,99|1,26852016907911
43|55,67|1,46492367140574|64,53|1,42181447376619|55,5|1,26413418479974
44|57,31|1,54170428354403|65,35|1,29590001003677|56,16|1,19854050579413
45|58,13|1,38233182559998|65,85|1,30152491036117|55,5|0,890634466184521
46|60,26|1,55834237865022|66,17|1,38617965047055|56,65|1,19758892191517
47|60,92|1,55111816523464|65,19|1,21288714947669|55,67|1,28590666308605
48|63,55|1,43810522565339|63,38|1,54244354225619|54,68|1,08792746503553
49|62,89|1,43655272304103|65,52|1,60781093827889|54,84|0,792872785283241
50|60,92|1,29725225366216|62,56|1,2587701371496|56,49|1,39006666588355
51|60,76|1,28831499199051|64,37|1,22035934115797|56,49|1,01355071830121
52|61,41|1,30914814678119|65,35|1,18975181701523|57,64|1,29146128683266
53|61,41|1,21899716476027|65,52|1,27072816210669|59,61|1,05238093518475
54|61,74|1,37115705834468|67,49|1,38541738477376|58,46|1,09640743690637
55|63,38|1,35759740189426|67,49|1,34137036736411|58,13|1,17994079939911
56|65,19|1,10977246990185|66,83|1,32593519482878|59,28|1,17092672179732
57|64,53|1,26170080833927|69,46|1,36683529756337|57,8|0,999168366856503
58|67|1,0514845475624|69,29|1,41814614949769|60,26|1,33147628542436
59|65,68|1,33638889836727|70,44|1,28177845191191|61,9|1,06797625058958
60|64,7|1,29122352898028|70,11|1,31823038592701|63,71|1,21138654388458
61|65,52|1,41619797914224|70,11|1,18963385938977|63,55|1,20583188951911
62|64,7|1,27943003229371|69,29|1,21698819145567|65,19|1,24374209270558
63|64,37|1,32703693731779|69,62|1,41291937949252|64,2|1,20141440477492
64|64,7|1,26481809339218|70,77|1,10809054311774|64,37|0,884154878887581
65|65,52|1,1696184379562|69,29|1,03129526045725|64,2|1,06220513414192
66|65,19|1,21130745231238|71,26|1,28329115454203|63,38|1,11024934378323
67|69,46|1,22723819768148|71,1|1,3154716484517|63,88|1,10125168221602
68|69,46|1,3090837387949|71,76|1,2449165256136|64,7|1,00034238030805
