epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2
0;9,2;0;7,72;0;6,9;0
1;9,52;4,608287089;7,88;4,057099164;7,55;3,854697967
2;9,52;4,389174379;8,37;4,015256603;8,05;3,857617394
3;9,36;4,896431183;8,54;4,209573748;8,37;3,894908012
4;9,69;4,874816712;8,54;4,106588925;9,03;3,649046506
5;10,02;4,176687297;8,54;3,978705674;9,36;3,686789119
6;10,02;4,545875809;8,7;4,05683066;8,87;3,625000561
7;10,18;4,201067981;8,87;3,912039686;9,2;3,817672349
8;10,67;4,003225218;9,2;4,169030614;9,52;3,821702165
9;10,84;4,300945384;9,69;3,308751166;9,85;4,144808662
10;11;4,535719363;9,69;4,383219682;9,85;3,668083493
11;11,33;3,8156977;9,52;3,885602379;10,02;3,749395589
12;11,33;4,086638339;9,2;3,877410795;10,51;3,614057003
13;11,33;3,97704354;9,52;3,673316609;10,18;3,467152425
14;11,17;4,124597372;10,02;3,845220656;9,85;3,091088189
15;11;4,108117578;9,85;3,856189189;10,34;3,305075352
16;10,34;4,402469065;9,69;4,046547831;10,18;3,687492569
17;11;3,580774465;9,36;3,606696433;10,02;3,635605933
18;11,17;3,779737288;10,18;3,688402195;10,02;3,426430479
19;11,99;3,677777255;10,34;3,430744427;10,18;3,701638756
20;13,3;4,396196879;10,18;3,732979597;10,18;3,379867192
21;13,96;3,676229336;10,18;3,52631343;10,51;3,728144439
22;14,12;3,67546709;10,02;3,537641633;10,18;3,361282939
23;13,96;3,765005933;11,17;3,347188386;11,49;3,477485239
24;14,29;3,758606499;10,34;3,762721337;10,67;3,486797879
25;14,45;3,64664003;11,17;3,317294884;11;3,40336717
26;14,78;3,562846066;12,15;3,589891531;11,17;3,357869751
27;15,11;3,897071718;12,81;3,366094188;10,67;3,969179343
28;15,44;3,837785093;12,81;3,39844474;10,51;3,327351181
29;15,76;3,708606397;13,46;3,305485875;10,84;3,545807355
30;15,6;3,524611139;13,79;3,452212114;10,84;3,578970912
31;15,93;3,453245633;13,3;3,53505718;11,17;3,724377722
32;15,27;3,336185829;13,3;3,164711194;11,33;3,160847465
33;15,27;3,257691797;13,63;3,401807901;11;3,624159424
34;14,78;3,232813663;14,29;3,364252537;11,66;3,53331761
35;14,78;3,941527546;14,94;3,508097306;11,49;3,188980985
36;15,6;3,343328863;14,78;3,587102555;11,99;3,345017748
37;15,6;3,653654557;15,6;3,606607884;11,49;3,294613498
38;15,44;2,974083804;15,11;3,706373029;11,82;3,119231371
39;16,09;3,094551933;16,09;3,422953619;12,64;3,14477103
40;16,58;3,405279542;16,26;3,518624227;12,48;3,393143201
41;16,91;3,645730152;16,26;3,689252006;12,97;3,272488781
42;16,75;3,618099695;16,26;3,366930552;14,12;3,573409329
43;16,91;3,236671351;16,09;2,904960566;14,12;3,239421617
44;16,75;3,201021201;15,6;3,712776356;14,12;3,430818768
45;16,91;4,078025335;15,76;3,440270254;14,45;3,092892676
46;17,41;3,47871332;16,75;3,155344767;14,61;3,381656806
47;17,9;3,5662338;16,75;3,545621844;14,29;3,302388596
48;19,05;3,354704874;16,75;3,495316648;14,45;3,312574593
49;19,87;3,092963773;16,75;3,056417503;15,6;3,222607234
50;19,87;3,512790922;17,08;2,698202322;16,26;3,389047104
51;20,03;3,155642736;17,57;3,125106984;16,26;3,342102146
52;20,03;3,326558281;18,39;3,279459173;15,76;3,001398717
53;20,2;2,82113994;18,39;3,14807161;16,91;3,562883294
54;20,2;3,046709132;18,72;3,984242863;16,75;3,482881341
55;20,53;3,202532901;19,54;3,501224385;16,75;3,47183381
56;21,18;3,17798229;19,21;3,28540558;15,44;3,137098545
57;20,36;3,395409234;19,21;3,384557605;16,09;3,02821183
58;20,03;3,124691562;19,05;3,580672081;16,26;3,188749065
59;20,69;3,349492821;19,87;2,875466903;16,91;3,532299355
60;20,69;2,937575494;20,2;3,273142424;17,57;3,072343001
61;21,02;3,018766471;19,54;3,184056302;17,73;3,070231932
62;21,18;3,434834094;20,36;2,985709911;17,73;3,344068729
63;21,67;3,082448469;20,36;3,526185734;17,9;3,020653707
64;22,66;3,246350653;20,2;3,170662689;18,06;3,151567457
65;22,99;3,088196305;20,03;3,263902786;17,73;3,224434154
66;22,5;3,36741643;20,03;3,265960681;18,23;3,043898109
67;22,66;3,201571376;20,69;2,903810237;19,05;3,024038514
68;23,32;2,782118257;19,87;3,084639601;19,05;2,678305287
69;23,15;3,129145579;20,69;2,94318192;18,72;3,219737047
70;24,14;3,230798076;21,02;2,828236358;19,87;3,177075864
71;23,81;2,96510756;21,35;3,334378556;19,54;3,177145407
72;24,96;3,314400219;21,18;3,160760616;19,87;2,863464102
73;24,96;2,984733842;22;3,041227012;19,7;3,017397669
74;24,3;2,911685201;22,66;2,961553366;19,7;2,885303266
75;24,79;3,174129352;22,66;2,96833058;19,7;2,916357754
76;24,96;2,743575588;22,17;3,070850005;20,36;3,166300188
77;25,78;2,776823586;23,32;2,855538516;19,54;3,294074336
78;26,11;3,205925951;22,82;3,038620388;20,36;2,788648295
79;26,44;3,205366719;22,66;3,3525029;20,2;2,864897142
80;27,09;3,45087299;23,32;3,059711812;20,2;2,657068352
81;26,44;2,965655227;23,81;2,927222113;21,51;3,116792108
82;26,27;2,904626816;24,14;3,038890997;21,51;3,058225689
83;26,44;2,831012182;25,45;2,712162244;20,85;2,919330993
84;26,44;3,103165323;25,29;2,677694882;21,51;3,168430792
85;27,26;2,674607073;24,79;2,722692552;22,33;3,240880683
86;27,59;2,887438777;25,12;3,197922018;22,17;3,334210671
87;27,59;2,846406231;25,62;3,205797758;22,33;2,979427532
88;28,9;2,94797236;25,94;2,979214369;22,5;3,018184075
89;29,72;2,597582045;26,6;3,018980151;22,5;2,795759474
90;29,72;2,845963278;26,44;2,973066368;22,99;2,93102955
91;29,89;2,812130317;25,78;3,291270758;23,15;3,018310382
92;29,89;3,125029973;25,94;2,582414256;23,48;3,120531231
93;30,21;2,754936192;26,44;2,921247622;23,81;3,505305468
94;29,72;2,668872947;25,94;2,716160398;24,14;2,710794653
95;30,54;2,5275401;25,78;2,875542138;23,48;3,049914014
96;29,72;2,727143332;25,62;3,272875155;24,14;2,909887707
97;29,39;3,062889734;25,29;2,835350395;23,65;2,989632096
98;29,89;3,114970014;26,44;3,018515596;24,3;2,835731967
99;29,39;2,883296657;26,44;2,722028381;24,63;3,187842944
100;29,39;2,743074612;26,11;2,689470151;25,29;3,032572456
101;29,56;2,761610026;27,42;2,846761944;25,45;3,026334103
102;29,72;2,866050392;27,09;2,470916678;24,96;3,11975211
103;30,87;2,878738386;27,26;2,880026585;25,94;2,890574676
104;30,05;2,538696076;29,06;2,987895899;25,62;2,775813184
105;30,38;2,773249121;28,74;2,98551996;26,27;2,819445124
106;32,18;2,817789025;28,74;2,721957035;26,93;2,827132444
107;32,68;3,01185672;29,23;3,629758739;27,09;2,971056338
108;32,18;2,814818536;29,39;3,01734163;26,77;2,939223105
109;33,5;2,58173467;29,56;2,57381006;26,77;2,769490985
110;33;2,766696438;30,05;2,831276826;27,09;2,653497296
111;32,84;2,611513385;30,05;2,703521234;27,09;2,699671418
112;33;2,799495402;29,89;2,771386117;27,26;3,179743923
113;34,65;3,075152309;30,54;2,927302886;27,42;2,95166044
114;35,14;2,623995665;30,54;2,950818251;28,08;2,703105693
115;34,32;2,638752653;30,21;2,684696465;27,26;2,672913944
116;35,47;2,501494892;30,05;3,006436172;28,74;2,740695003
117;34,65;2,457590743;30,05;2,640550116;28,74;2,567061363
118;34,65;2,76442926;30,54;2,644907487;28,41;2,515236019
119;34,65;2,823123915;30,38;2,566785344;28,41;2,695095807
120;34,65;2,936658156;31,2;2,466714316;27,75;2,853822321
121;35,96;2,669162189;31,36;2,88803908;28,74;2,810200553
122;35,47;2,953440834;31,69;2,886077303;28,08;2,506669205
123;35,63;2,681640994;32,18;2,956539824;27,59;2,596072937
124;34,98;2,614493732;32,02;2,601764357;28,57;2,891356042
