sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|16,58|0|11,17|0|8,7|0
1|7,55|4,44801414505063|18,23|4,57470707468377|9,36|4,12348622130496
2|9,2|8,09350843403039|16,91|7,49292845374735|10,18|6,64547644937476
3|10,51|8,5928338004249|17,9|8,48881455434282|9,2|7,87562648817171
4|11,82|6,94630813937546|15,76|6,42303603796624|10,84|7,26324485931632
5|14,12|7,08227215259356|24,47|7,26857506955761|17,41|7,02010187405763
6|11,17|7,14004214084403|18,72|6,65618224611655|29,39|7,11934479550308
7|13,3|6,46171441417628|13,14|6,42057937784245|23,97|6,80029979873492
8|11,33|6,26337948937591|20,2|6,39824582659174|15,44|7,07139276477674
9|20,36|7,0125602173893|16,42|6,21744144523125|11,17|5,39844642781798
10|11,82|7,12485809418434|10,02|6,32403941332937|21,35|5,93235732334428
11|12,97|6,79324520347619|7,72|6,48339316978777|17,9|6,16466854603356
12|16,09|5,79117009153754|7,72|5,30801397408296|21,51|5,93459994706263
13|12,64|5,57064034935393|7,88|5,6274252606629|13,96|5,75900212879185
14|12,48|5,21489451521805|7,06|5,30817444467546|28,74|6,50271753470166
15|11,49|5,6713507202265|9,2|6,41759887834952|29,39|5,86116254282351
16|13,3|6,06871486977205|8,37|6,97861568235892|41,71|5,7879317361278
17|11,17|4,71730918169428|7,72|5,9642793005159|26,93|5,28471530397111
18|12,32|6,41253388882269|7,72|5,89551676829512|38,26|5,40484777343231
19|13,3|6,16389332296992|7,06|5,69125255925789|33,17|4,27654051975524
20|11,66|4,3611389799866|7,72|5,19767574287298|19,38|5,36865832166141
21|18,88|5,29828709479838|7,06|5,71042189332013|26,6|5,05792759288363
22|12,48|6,15175077181352|7,39|5,8936533394508|21,18|5,4080118985041
23|11,17|4,81386698708555|7,06|4,8750282872242|55,17|5,04036988029301
24|13,46|5,22406103788152|7,39|5,10993963092298|25,62|4,20222061779258
25|11,17|5,17336848712278|7,06|5,66018450395693|48,77|3,92907929234621
26|12,81|4,23345668081507|7,06|4,96403350791492|41,05|3,98060366267903
27|11,17|5,00069197561284|7,06|4,57332324337111|50,74|3,80240376945316
28|14,29|6,23749376312239|7,06|4,12864800841202|20,03|3,82288582529258
29|13,3|3,75766536395895|7,06|3,79843974164687|42,69|4,10333518064586
30|13,3|4,07685910585354|7,06|3,94711698466522|53,53|3,71961088042413
31|12,97|4,60886402255817|7,06|3,95528198888562|57,14|2,7675857244597
32|13,14|4,14823617324242|7,06|4,33663100876374|52,87|3,01195293924929
33|12,48|3,13039805984306|7,06|3,97616485828221|53,04|2,63918917851939
34|12,48|3,78863778765306|7,06|3,67045117142867|49,92|3,10462999050076
35|12,81|4,21738923104753|7,06|3,35058356084272|66,83|2,33576832322038
36|13,3|3,68546882812801|7,06|3,54014090341874|63,71|2,0169933339686
37|13,3|3,66062786675748|7,06|3,28060352854255|66,83|2,04332067513054
38|12,81|3,53477350176982|7,06|3,22321441086367|60,76|2,38430654785833
