sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|11,17|0|10,18|0|7,06|0
1|11,17|5,25870714206082|11|4,87665975755365|7,06|6,3162986090566
2|11,17|4,17963052042953|11,17|3,40640235816153|7,06|5,22871743494635
3|11,17|3,32506201285683|11,17|2,66017965096418|7,06|3,87539510126104
4|11,17|2,54009049310881|11,17|2,61488591218669|7,06|2,89258632762601
5|11,17|2,47278041049886|12,48|2,05966748192512|7,06|2,60916550916362
6|11,17|2,65354957166843|16,75|2,09353183980657|7,06|2,85962550630936
7|11,17|2,3514317765183|16,91|1,94314794543769|7,06|2,40632189954695
8|11,17|2,16651026392658|17,24|1,68001731479728|7,06|2,5919283159054
9|11,17|2,54153808025001|17,24|1,76718372790378|7,88|2,4623944418917
10|11,17|2,57719949573534|20,2|1,69089072803208|16,09|1,93233222890585
11|11,17|2,49976856463163|20,85|1,53308452214412|21,84|1,97874793250842
12|11,17|2,39648511415837|21,35|1,5923723888346|22,82|1,53673213508241
13|11,17|2,28397039978817|23,32|1,53591038490743|28,08|1,80962833937927
14|11,17|2,50273041967942|23,15|1,6184773818638|29,39|1,69529612134208
15|11,17|2,29870018198674|25,62|1,5298497878492|30,05|1,50533574936911
16|11,82|2,41585517927585|26,44|1,84740792693476|30,21|1,69611344897187
17|18,56|1,98971971069237|27,26|1,35391415173637|29,56|1,47605061453179
18|24,79|2,1084754618839|29,39|1,70379209685828|29,72|1,60231311499526
19|26,77|1,41734034950546|28,08|1,56235755875324|33|1,52820100487537
20|29,89|1,76349231150349|29,72|1,58875173617253|34,65|1,4537923540866
21|29,89|1,55604140704291|29,39|1,47419717120222|33,99|1,45350822822932
22|30,87|1,56836391911191|28,08|1,34041083678448|35,14|1,83749429863375
23|36,12|1,69506339001064|29,23|1,38413857859852|33,83|1,36641491430723
24|39,08|1,51038817824887|30,54|1,38698827162224|33,5|1,77979100091729
25|38,92|1,4405133717531|33,99|1,61244361772384|33|1,49017795513557
26|38,26|1,32771109503626|35,63|1,57525861079331|37,6|1,80599579519943
27|40,07|1,3561235755336|35,8|1,30387414846312|39,24|1,41206250224903
28|39,74|1,52456689052762|35,47|1,47155996392955|40,89|1,48046642634232
29|42,53|1,67936380184841|35,63|1,36973562948111|41,38|1,50833555679989
30|45,65|1,50719061599567|39,74|1,54668850917209|41,87|1,46409773548868
31|45,98|1,46084235142943|39,41|1,23810294337097|41,54|1,7370264784255
32|46,47|1,54093107077518|43,35|1,61513475948107|40,39|1,29046697114679
33|47,78|1,23594482192081|41,05|1,53619573405952|40,89|1,59092317524675
34|47,29|1,27468012357407|39,24|1,48758996200304|42,36|1,40225180793878
35|47,78|1,36710973040514|46,31|1,46857156013906|43,19|1,51059470517704
36|50,08|1,38678638636636|46,8|1,4369182272277|43,68|1,76508895478572
37|52,87|1,59211363144296|46,8|1,49473366725332|44,17|1,38890452576264
38|52,38|1,39722786146414|46,96|1,38425309425963|44,17|1,45169565333072
39|52,87|1,50995228811106|47,29|1,47569836651357|47,45|1,38203115061833
40|50,74|1,37990626872113|48,28|1,35806912752287|49,59|1,53961550276345
41|55,17|1,4934313258577|46,96|1,18456507102831|51,72|1,46652179491932
42|54,84|1,40061173780191|47,78|1,34636941679869|51,56|1,43864153523582
43|56,98|1,59376778868485|49,59|1,430905280763|51,89|1,38499932221701
44|55,83|1,43894871700516|49,43|1,25069021719323|54,35|1,84346102741515
45|54,52|1,43062436839052|50,74|1,44783225787701|57,14|1,44054649018859
46|53,86|1,40669560379489|51,07|1,47581968455476|56,49|1,50688245076607
47|54,68|1,54536859923869|52,55|1,36213812321497|56,32|1,38114897244356
48|57,31|1,6877054912693|55,01|1,57915390165356|55,99|1,17320362745925
49|58,13|1,32917395698025|55,5|1,19718257909069|57,96|1,37915092389987
50|57,8|1,22442881700855|55,99|1,39822807944991|57,96|1,1763799695422
51|59,28|1,47236529590138|56,65|1,44738556010815|57,8|1,35713326417184
52|58,46|1,39344972709717|59,44|1,37759649891339|58,62|1,32805978852433
53|58,46|1,28231201400021|59,77|1,40926646140806|59,44|1,45570062823169
54|58,46|1,30450195609366|59,93|1,30940027025537|60,43|1,44590446680835
55|60,1|1,42940004329197|61,41|1,29164314944603|62,56|1,84264310156062
56|60,1|1,15803097421367|63,71|1,44991808299474|63,05|1,31988886430404
57|60,59|1,17717821527208|63,71|1,3648446414812|64,86|1,45415769736686
58|61,41|1,38393209627187|62,07|1,62092536372318|64,53|1,32241202507299
59|61,41|1,15644385181306|63,71|1,68993686331561|64,86|1,3362854306758
60|60,76|1,31561908007459|64,7|1,26291830035342|63,88|1,27324087458629
61|62,73|1,38571340878145|65,85|1,13197969176789|62,89|1,33814457638897
62|63,38|1,25686586932196|65,52|1,19826020536416|66,5|1,46240269772151
63|61,9|1,54465961625477|65,19|1,48791528184064|67,82|1,40201807800239
64|62,07|1,37267771501362|65,68|1,29463589034635|66,83|1,25681629479725
65|63,71|1,41156726243923|67,49|1,46428349339912|67,32|1,40247860572346
66|63,71|1,32235479661459|68,47|1,61045313908931|64,53|1,30040994948246
67|64,04|1,1444254164622|67,82|1,32372430718701|67|1,21503482251774
68|64,7|1,55571766225172|66,5|1,30519447410781|67|1,32731706791512
69|66,17|1,2784055413062|67,82|1,40708839612387|67,32|1,28553219834806
70|66,17|1,44119780469713|68,97|1,29554498559293|66,17|1,22823277190261
71|64,53|1,38864977101226|68,64|1,27543929271668|67|1,10539338190261
72|66,01|1,41742316257402|68,64|1,19710297710806|67,65|1,48005793895127
73|63,88|1,16640945587473|69,46|1,376954869251|68,47|1,2537791163051
74|65,68|1,29323127869947|69,79|1,22807621828722|70,11|1,33523019810806
75|66,5|1,05401789880914|69,95|1,27910792264323|68,97|1,40225480737729
76|65,85|1,05186081926311|70,11|1,37856330905958|69,13|1,27437290099955
77|65,68|1,09079036223237|69,79|1,27587892847472|69,13|1,27118381617916
78|65,52|1,29350200240626|69,46|1,28196876168421|68,47|1,27600965451042
79|64,86|1,1103683742106|70,28|1,3667969894389|68,64|1,25882806711974
80|65,52|1,22165945833789|69,95|1,30702570969324|69,46|1,27277123407285
81|65,85|1,26560739904755|72,41|1,39731123573751|72,25|1,22383835045476
82|65,85|1,21764808395906|70,11|1,0625486847074|71,92|1,29811644089229
83|66,17|1,17669124799441|70,61|1,39338355406862|72,09|1,29483112228439
84|68,47|1,49097438568129|72,25|1,40516217923453|72,25|1,30713684434527
85|67,98|1,18312057674818|70,44|1,09642401487446|72,41|1,17057725446011
86|67,49|1,24022351191959|73,23|1,51581457443136|71,76|1,16091736944289
87|67,82|1,13888331705392|72,58|1,32631775688996|73,89|1,39068178347771
88|67,98|1,11860468052967|72,58|1,23585726591956|72,91|1,159614855568
89|67,65|1,27406291446836|72,58|1,17719283143383|73,56|1,22926931400013
90|67,98|1,35874479784066|71,59|1,04232594108272|74,38|1,23492947945327
91|68,64|1,13005829034166|72,91|1,19804752473847|74,06|1,37224841557658
92|68,64|1,2378850363277|74,06|1,2633768039852|74,06|1,31232849860722
93|68,64|1,25425325394061|74,06|1,19927038331143|75,53|1,25973483969425
94|68,47|1,18504068249594|72,74|1,00310289524003|74,06|1,20104930125577
95|69,46|1,24327976830081|73,23|1,0520528793334|74,06|1,18615241971919
96|68,97|1,28938169124773|74,55|1,37254864059586|76,03|1,16682227705655
97|68,47|1,23801616054771|74,55|1,322897949766|75,04|1,09899051315064
98|67,98|1,03861391489387|75,53|1,01132189460459|74,88|1,23899707179044
