sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|12,48|0|11|0|11|0
1|12,48|3,88322879779137|9,36|4,61879332026414|10,67|4,7504858546718
2|15,76|2,92493437200732|13,79|2,57157027465905|12,64|4,39888483579021
3|22,33|2,85705370523789|15,11|2,20494913145145|13,46|3,34349288559516
4|28,08|1,95744896768893|13,96|2,35748289517513|13,3|3,47474459423327
5|27,75|1,81327045515967|17,9|1,72430896196934|19,05|2,98016209930306
6|31,03|1,8354017866851|19,38|2,07849101684558|18,23|2,21628598563035
7|32,68|1,85596820933035|15,76|1,80225691523444|20,85|2,13929611626665
8|33,99|1,73221508128199|15,93|1,7044112108642|22,33|1,92257165309735
9|30,54|1,82011256383047|16,26|1,69482012236291|21,51|1,75696129897847
10|35,8|1,96890349978971|20,03|1,67109370222678|21,84|1,7255906660265
11|35,8|1,66689842708983|21,84|1,66541037430343|23,15|1,54753588244943
12|34,48|1,58780869724341|24,14|1,43603432361839|25,29|1,62502244041577
13|38,92|1,69181333261475|24,3|1,60688871048934|26,6|1,75965345107014
14|38,42|1,59567529533998|25,62|1,56632469737914|26,77|1,56611837940765
15|40,56|1,66917720802956|25,45|1,65420560212435|26,77|1,53364674991233
16|37,6|1,72573076378184|27,75|1,65636083968051|27,75|1,59221866938091
17|39,74|1,57235431059551|30,21|1,46936344646334|29,89|1,63901696510868
18|46,47|1,73349029619712|31,69|1,70564320830657|29,89|1,79615808596902
19|46,31|1,65223587489384|33,83|1,8346601740106|31,86|1,56639830561829
20|48,28|1,5527593091931|33,66|1,69687125827255|33,17|1,54283520593227
21|50,74|1,79482733735001|34,32|1,61957321933055|35,14|1,65940763223843
22|50,41|1,45914247284196|36,12|1,75674192974769|36,12|1,50309001228533
23|50,08|1,57261036924005|37,27|1,49835372015848|36,95|1,53787232530448
24|51,4|1,50871782941858|37,44|1,70088832853904|36,95|1,34177590196457
25|51,89|1,59081297754483|39,08|1,60930228800129|35,96|1,52149114229189
26|52,87|1,71908856438889|38,59|1,28556763336315|37,77|1,60465887064519
27|50,74|1,44015651227252|37,6|1,5044651553686|39,9|1,56838885681783
28|54,68|1,415309403358|38,92|1,66909608004119|38,92|1,54511842582092
29|49,59|1,5823464405773|39,24|1,59419155014046|36,62|1,46712082637068
30|51,4|1,42031052270681|41,71|1,5838353554484|39,08|1,66909903566723
31|57,14|1,5664449265556|42,69|1,72237525456151|40,07|1,49128265218435
32|54,02|1,80080707507891|44,17|1,44171962295038|41,54|1,72851411198711
33|55,17|1,48244716709051|44,5|1,49264376821056|42,04|1,6869199316699
34|58,29|1,63493262858495|44,99|1,51944886661046|43,51|1,47160195428437
35|58,46|1,33451479146351|44,83|1,60501865430689|44,66|1,62516563594268
36|64,2|1,60782255821017|46,96|1,44868889914786|45,81|1,42584721387955
37|60,92|1,62301940852818|47,13|1,47961162232066|47,29|1,47552982552769
38|65,19|1,75535722719945|51,89|1,66198877018643|48,28|1,5331374459706
39|66,17|1,75035499573761|56,16|1,77047209479234|47,78|1,36590779938208
40|64,86|1,52179924173932|55,17|1,59846353702598|50,57|1,61360789072239
41|62,89|1,4890734746882|55,99|1,56146338692493|52,05|1,46020779351354
42|61,9|1,67535913349918|56,16|1,45598941799356|51,4|1,45989757027653
43|66,17|1,3758163031013|56,49|1,4741485900567|54,35|1,39102632952553
44|65,35|1,40328205275702|58,46|1,59880359457944|52,05|1,43740071600003
45|68,47|1,54798507506083|59,28|1,69228051368367|54,68|1,62432079464001
46|68,31|1,32123503827312|60,76|1,52479396120425|53,37|1,44284419369188
47|67,98|1,58249639947271|60,76|1,23487891608196|55,83|1,33668401997467
48|67,32|1,52365247434609|63,22|1,41514897446793|55,67|1,47324122109389
49|67,49|1,30071310257563|61,9|1,3548819598947|60,1|1,69306783213502
50|68,14|1,2345044224937|64,37|1,74548649035582|60,92|1,498953825053
51|69,13|1,5410132348733|64,04|1,51610027238365|60,92|1,54981457020294
52|68,31|1,15887334727204|64,86|1,34558440424493|61,08|1,56428992950589
53|65,19|1,16684340486255|64,37|1,31923663519599|61,74|1,72813865333002
54|69,13|1,49986804784531|68,14|1,35058648663661|64,53|1,68645020790366
55|68,31|1,15057537948812|67,16|1,63591052147791|63,88|1,57524726109527
56|69,62|1,38297539887669|67,49|1,23970311179639|58,13|1,56122543429265
57|66,34|1,1509332380116|66,67|1,35861124657426|56,98|1,47389220320254
58|70,28|1,40750428809638|66,83|1,42679235349284|61,74|1,48962955763271
59|71,92|1,39941182873714|66,67|1,58775356402251|61,08|1,52344602667317
60|70,11|1,49712670424789|67,16|1,25880309806496|59,61|1,54434036598707
61|70,11|1,24555728793718|68,47|1,5999744968594|60,59|1,4523207371142
62|70,61|1,32100639311813|67,16|1,515546312478|67,32|1,64388444157439
63|72,58|1,35802212849324|67|1,39481043004728|64,86|1,31435844823059
64|71,59|1,32536593480352|67,98|1,24139423419888|65,02|1,5230337740252
65|74,22|1,32906418999607|66,83|1,35026081916209|65,35|1,46892752018497
66|75,53|1,48299885095318|70,61|1,24491025319311|61,08|1,31409014620508
67|74,38|1,46401470607312|69,46|1,09430645832987|64,2|1,54193171482453
68|74,88|1,62666617861192|68,47|1,35446105844521|66,34|1,47922607066169
69|75,04|1,40855673906585|69,13|1,24784683082326|67,49|1,54951355133425
70|76,52|1,3356347372579|70,44|1,31255710207715|64,04|1,36751959894096
71|76,85|1,24959762253704|68,47|1,29065218011462|65,52|1,43803268101636
72|78|1,31998579140402|69,79|1,3813867413995|65,35|1,34601497625875
73|78,49|1,28259987925442|70,94|1,07247204683073|66,17|1,53683980958161
74|75,04|1,28354810812381|72,09|1,19031131924869|70,11|1,40272048348036
75|76,03|1,2832807320676|70,61|1,1321641514418|70,28|1,25877128571546
76|77,34|1,22956458601474|70,94|1,43100655099954|71,26|1,37326421117159
