sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|11,66|0|10,34|0|6,73|0
1|12,15|6,44863575762544|11,33|5,20493963103934|7,22|3,85687006294102
2|13,3|5,42367676415026|11,33|3,1686226544884|15,27|2,69703659501857
3|15,11|2,84511834763685|11,33|2,16373625791379|21,84|1,94169562055815
4|14,12|1,66445110417317|11,17|2,03263357631374|22,17|1,37726674257405
5|12,64|1,25721623877932|9,85|1,58572454602747|23,32|1,29982055266105
6|12,64|1,14802901211241|8,05|1,23138997517396|23,48|1,32461494858571
7|13,46|1,13206792202358|10,18|1,13119750148338|25,62|1,43204075284999
8|14,78|1,0878703313333|11,33|1,11031508485545|30,38|1,40590047271916
9|15,44|1,08081140666939|12,15|1,09674500130988|30,21|1,21108091872878
10|16,26|1,1104732787862|12,32|1,084534732118|28,08|1,29368398676536
11|16,91|1,12072370979252|12,81|1,12563413122095|28,41|1,20666265506655
12|18,72|1,0955433481528|13,3|1,09531218434938|30,21|1,37104726588399
13|19,87|1,05956232647639|13,79|1,07102044564683|33|1,19250785467098
14|20,53|1,04021617137281|14,61|1,10309930040203|35,3|1,13060535232123
15|20,85|1,09426837872203|15,27|1,11614303150101|36,78|1,15146336459453
16|21,35|1,06659976938633|15,93|1,12483231975842|38,75|1,00927979064306
17|21,51|1,05474583809084|16,09|1,1182771531904|38,42|0,942806280771795
18|22|1,06931580454254|15,93|1,04160804077831|39,08|0,982526627472594
19|21,67|1,05610666657679|15,6|1,10654066513607|39,41|0,877604376944813
20|22|1,11437256001619|15,44|1,1115124379625|39,57|1,0111168672578
21|22|1,09513135349494|14,29|1,15533406376657|39,9|0,934275163889624
22|22|1,02747325017633|13,96|1,13498651931056|40,23|0,942042778608401
23|21,84|1,02260306046676|14,12|1,18836180345376|41,05|1,06254697563061
24|21,84|1,08305230869406|14,61|1,20716694303256|41,54|1,03431344110829
25|22|1,08141204186602|14,61|1,14831289095516|41,22|0,929547115263722
26|22,17|1,10442665896221|14,61|1,2830530262944|41,38|1,00623094885802
27|22,17|1,14182065711031|15,11|1,23480431513943|41,22|0,819655036616197
28|22,17|1,08596147545635|15,44|1,17803652205681|41,22|0,98261123938788
29|22,17|1,0492933453144|16,09|1,18601055272036|41,22|0,803060267022882
30|22,33|1,14276476919037|16,42|1,17479340804774|41,22|1,0486350589102
31|22,33|1,13984651044175|16,75|1,10989108094589|41,22|0,838159860506396
32|22,5|1,15265387166806|16,75|1,05668723859641|40,89|1,11632804240683
33|22,66|1,13405300153083|17,08|1,03806158085976|41,38|1,10777876086827
34|23,15|1,20946814980244|17,57|1,08938409960067|41,38|1,19820944604227
35|22,99|1,06544104902722|17,73|1,07641224495864|41,38|0,989791843053647
36|22,99|0,966605502082427|18,06|1,10268432101444|41,71|0,869241048869874
37|23,15|1,08481596601833|18,23|1,0713267743019|42,2|1,02277007610282
38|23,32|1,22614466219383|18,23|1,08571021116267|43,02|1,01891193056815
39|23,65|1,13789857274248|18,23|1,1424236046752|43,02|1,00897991015813
40|23,97|1,15217065952473|18,06|1,00949647613654|43,19|0,980238326745023
41|24,63|1,06485371778487|18,23|0,991769715947815|43,35|1,16872345510281
42|25,29|1,12797003510959|18,39|1,08132975507959|44,01|1,28023531384396
43|25,29|1,05955391733434|18,39|0,994576814293904|44,5|0,971798352780668
44|25,62|1,02726136124695|18,72|1,05847480706557|44,99|0,989484631646184
45|25,78|1,22563413945459|18,88|1,0029097577966|45,32|0,964162846839008
46|26,27|1,0024384766687|18,88|1,06846274886324|45,65|1,06557128084608
47|26,6|0,991118854012728|19,21|1,03880472021353|45,81|1,02331373369827
48|26,6|1,21254512285868|19,38|0,955688171968299|46,31|1,10269635946308
49|26,44|1,27471832021612|19,54|1,08103629780903|46,31|1,16795356801304
50|26,44|1,12491089063163|19,54|0,9923528330564|46,14|0,786547829660282
51|26,44|0,993488000522551|19,87|0,963377863151074|45,81|0,929830697664401
52|26,11|1,19533648283967|20,03|1,08834441788466|45,98|0,975037308952751
53|26,44|1,02054277472447|20,2|1,05237337990253|45,98|0,854370125932987
54|26,77|1,18890688633919|20,69|1,02015571725397|45,98|0,706506602646255
55|27,09|1,07000053561214|21,02|0,960113121675368|45,98|0,834409567167376
56|27,09|1,19782511589006|21,35|1,08699042107015|45,98|0,785070193854221
57|26,93|1,08640004357782|21,51|0,954078847438645|45,98|0,842213897844791
58|27,26|1,056448419619|21,67|0,892505954502366|46,47|0,908062648945377
59|27,75|1,24458354434344|21,84|1,01956608718073|46,96|0,672760209844852
60|28,41|1,14012116175485|21,84|0,985442679764572|47,13|0,851709864889317
61|28,57|1,23710722840473|21,67|0,955548237254018|47,45|1,02403935972289
62|28,74|1,09506715105287|21,67|1,25831566709966|47,62|0,784121793708835
63|28,74|1,17710602669735|21,67|1,01994705830099|47,62|0,590523777754433
64|28,74|1,27855837987124|21,84|0,985089202216302|47,78|0,632420258149071
65|29,06|1,08285820384927|22,33|1,032667158624|47,78|1,01613314095871
66|29,39|1,12125950998958|22,66|1,1001203530529|47,78|0,927520009282454
67|29,56|1,11535838285746|22,82|1,23065183920398|48,11|0,690712606374792
68|29,72|1,10710665701043|22,82|1,00992514094151|48,28|0,86269689335702
69|29,72|1,20875497122777|22,82|1,13381277494716|48,28|0,985926025753155
70|29,89|1,07988841228473|22,99|1,03520829002934|48,44|0,990520726128848
71|30,05|0,979247724533537|23,32|0,765777387270591|48,6|1,08265635367311
72|30,38|0,933543318699356|24,14|1,02296384005343|48,44|0,920977903246323
73|30,38|1,07572655649676|24,3|1,10675202137741|48,28|0,679763158710145
74|30,71|1,0051746664465|24,47|1,07176085563001|48,44|0,818454397016096
75|30,87|1,25957329802404|24,47|1,05646963937575|48,6|0,923816750802896
76|30,87|0,983210901711733|24,63|1,01864020266447|48,6|0,810276007655975
77|30,87|1,06939740830406|25,29|0,989319008780691|48,6|0,603108704302074
78|31,03|1,15275807168688|25,45|0,844545249881524|48,77|0,809938156019135
79|31,03|1,17223091417019|25,62|0,997023704149207|49,1|0,8669471262142
80|31,03|1,01613590688575|25,62|1,06515517319324|49,26|0,886786461916651
81|31,2|1,08678768227837|25,78|0,984063843818405|49,43|1,05228781110902
82|31,2|0,979602985005761|26,77|1,01046537857193|49,43|0,655108597191873
83|31,2|1,14786535859035|26,93|1,11209343837184|49,43|0,785369770479429
84|31,03|0,897601053817917|26,93|0,987748121984236|49,43|0,687921112526815
85|31,03|0,996272251543399|26,93|1,06706262969344|49,43|0,596607794527933
86|31,03|0,857403429460283|27,09|1,06301007721785|49,43|0,913763903942339
87|31,03|0,901516176367524|27,59|1,03214342572918|49,43|0,60840012261519
88|31,03|1,17097835814486|27,75|0,995930256280045|49,43|0,908242245630049
89|31,03|0,908844918752221|27,59|0,991462207759853|49,43|0,521729562925325
90|30,71|0,884813797519188|27,91|0,876222944746915|49,43|0,911804481414148
91|30,87|1,13380304426446|28,41|1,04600043261195|49,43|0,730055206031634
92|30,87|1,11902036786767|28,24|1,07236276261101|49,43|1,0205103522758
93|31,2|0,950518718453536|28,08|0,947135807839378|49,43|1,05516276615849
94|31,03|1,17798845094244|28,24|0,972177711642096|49,43|0,706256856608797
95|31,03|0,988555323417535|28,24|1,00828217144332|49,43|0,665324979246261
96|31,03|1,06122474270442|28,41|0,865998818359969|49,59|0,613894683507954
97|31,03|1,14603689962462|28,74|0,875058661798631|49,59|0,514353874992256
98|31,03|1,07701165337983|28,74|1,05430619972392|49,59|0,854878736567908
99|30,87|1,04218142123746|28,74|0,904499808930376|49,59|0,740533604061047
100|31,03|1,11368760792768|28,9|0,997902543351811|49,59|0,78808172628273
101|31,2|1,04416965696948|28,9|1,03894393613885|49,59|0,655154141087872
102|31,2|1,05950101090428|29,23|0,961960839734941|49,59|0,85311532210459
103|31,2|1,18108086832527|29,06|1,206634786963|49,59|0,65028606351787
104|31,2|1,01116555218599|29,23|1,02492809992219|49,59|0,846883371491523
105|31,2|1,12263296379918|29,39|1,10869489013084|49,75|0,813958001203171
106|31,36|1,14024498007309|29,39|0,838154820183213|49,92|0,758343910417134
107|31,86|1,1330579034715|29,56|1,08529191214589|49,92|0,834296226409285
108|32,02|0,990617686771978|29,72|1,12867776150317|49,75|0,874903211208538
109|32,02|1,08325983384018|29,72|1,06551412711933|49,75|0,543496101558706
110|32,35|1,0944852344096|29,72|0,902399995062101|49,75|0,925415077617425
111|32,51|1,12525232728083|29,89|1,01828047624167|49,75|0,828736357600673
112|32,84|1,13232814829829|29,89|1,10302205349962|49,75|0,544827666562017
113|33|1,06406638169581|30,05|0,917452969342672|49,75|0,679493571922785
114|33,33|1,16443157852785|30,05|1,05139582981828|49,75|0,761470665172354
115|33,33|1,12095766414377|30,05|1,08230452381667|49,75|1,08419892115117
116|33,5|1,01259877439409|30,05|1,02863245718426|49,75|0,727215515895409
117|33,5|0,916420081981776|30,21|1,04401197393706|49,92|0,673904010108832
118|33,83|1,057789985047|30,38|1,11026022530069|49,75|1,03212706111717
119|33,99|1,06781090935523|30,54|1,02973979155433|49,75|0,549538338252052
120|33,99|1,11493975438524|30,54|0,900818131140919|49,75|0,7485854295993
121|33,99|1,09677097262485|30,54|0,85474155477523|49,75|0,954769592197582
122|33,99|0,957586744721281|30,54|1,10270314395655|49,75|1,09572064288731
123|33,99|0,921139135156848|30,71|0,96654816548955|49,75|0,647324792201257
124|33,99|1,0918685343371|30,71|1,01377528663501|49,75|1,07400167868224
125|33,99|1,0026921396841|30,71|0,768744144893788|49,75|0,866643736379585
126|34,15|0,989367151222569|30,71|0,925411522201444|49,75|1,0361801401114
127|34,15|0,938705499338401|30,71|1,02061224260287|49,75|1,11379769926641
128|34,15|0,975318613340042|30,71|0,934871195410801|49,75|0,977876742786798
129|34,15|1,08820968687397|30,71|1,12412566901093|49,75|0,485389222472352
130|34,15|1,08988601538408|30,71|0,946405852086831|49,75|0,796256038064392
131|34,32|1,03873718973334|30,54|1,06225146544744|49,75|0,578112297565949
