sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|10,51|0|10,84|0|7,88|0
1|11,33|3,94467186686638|20,36|4,3216743387664|15,44|3,81662909717436
2|15,27|5,57335206526219|18,06|5,68309468357141|15,6|4,54644337626894
3|19,21|4,92909313627178|17,57|6,54939599409957|12,64|5,383605119573
4|17,9|5,39293776355995|16,42|5,99557033822859|11,49|5,66073261019173
5|15,93|6,13130254602772|15,11|6,8477547499369|11,49|4,91814291221425
6|14,12|5,67949952883167|13,96|6,69458568504533|11,99|4,87932621266547
7|12,97|5,30451677431917|14,45|6,36016689834473|11,66|5,87606477582146
8|12,48|6,07328164768347|14,78|6,39731444586372|11,49|6,24343200629163
9|11,99|5,2198892301825|14,61|6,66987192248815|11,33|5,26825245039982
10|11,66|5,60908890932549|14,12|6,5457099920891|11,33|5,73497775053313
11|11,33|4,79374980028143|13,46|6,49687247207413|11,33|5,27041969957871
12|11,17|5,3506620727223|12,64|6,77765761484328|11,33|5,43045137473913
13|11,17|4,8744899425025|11,49|6,14643885311259|11,33|4,87517419477129
14|11,17|4,56966658862675|11,33|5,80069216494936|11,33|4,55279267459539
15|11,17|4,29760626735385|11,17|5,97609961982679|11,33|4,30248287293704
16|11,17|4,02622181196416|10,67|5,88312718243906|11,33|4,08446970089827
17|11,17|3,5984297579667|10,84|5,55973062012016|11,33|3,72770098762956
18|11,17|3,48060141915123|10,67|5,21120446833501|11,33|4,01739767633771
19|11,17|3,60043912334156|10,51|5,1184876202292|11,33|3,53641185888732
20|11,17|3,64728430928125|10,18|4,77582554929512|11,33|4,08605454251545
21|11,17|3,53989496503924|10,18|4,89545757776832|11,33|3,99863422635735
22|11,17|3,50464383618694|10,18|4,74125290848884|11,33|3,22518303304234
23|11,17|2,30760807031172|10,02|5,08410835272865|11,33|4,07790684339448
24|11,17|3,27435049004079|9,69|4,77275142408354|11,33|3,59898516494797
25|11,17|2,76364493692941|9,2|5,18000134226825|11,33|3,7677141844881
26|11,17|2,77354903061014|9,52|4,52696629059616|11,33|3,67027465245076
27|11,17|2,75872081005259|8,87|4,2048699830305|11,33|3,70608727500301
28|11,17|2,58822730016994|8,54|4,22803963664019|11,33|3,69639749890041
29|11,17|2,49955757854392|7,88|4,52434689837962|11,33|3,60035472731117
30|11,17|2,22503750318588|7,88|4,27050441742684|11,33|3,74916115545743
31|11,17|2,37582252267512|8,05|4,97663351906697|11,33|3,27526654217739
32|11,17|2,69631670614887|8,05|4,85435829133363|11,33|3,3452871505155
33|11,17|2,40941529266855|8,05|5,11298079644004|11,33|3,41179734224874
34|11,17|2,33864353369334|7,88|4,94555337847896|11,33|2,96267486677691
35|11,17|2,52034457657282|7,88|4,66888822523652|11,33|3,49399837160495
36|11,17|2,19314370296226|8,05|4,95301215423866|11,33|3,50824750910159
37|11,17|2,62156550766172|8,05|5,0124804774754|11,33|3,22919018573361
38|11,17|2,32801881231005|8,21|4,50789105934989|11,33|3,33029581415263
39|11,17|2,62578410767702|8,05|4,95427986871549|11,33|2,96482743175672
40|11,17|2,24594789815975|7,88|4,6500251639422|11,33|3,15250725617291
41|11,17|2,56904062402245|7,39|4,73140596936482|11,33|2,98257345575688
42|11,17|2,62372184882223|7,39|5,21560345865286|11,33|3,61762680942331
43|11,17|2,23329445295918|7,39|4,25516888472433|11,33|3,04190454769945
44|11,17|2,69104733682833|7,39|4,565174580931|11,33|3,33059178296466
45|11,17|2,63680565882085|7,55|4,99040860455177|11,33|3,31962421748986
46|11,17|2,1752550972372|7,55|4,83550823607573|11,33|3,1908180298063
47|11,17|2,61031883884369|7,55|4,35639986983414|11,33|3,03067857670718
48|11,17|2,56298419131188|7,55|4,62756676026631|11,33|2,96390869133909
49|11,17|2,29782345835689|7,39|4,95142342661315|11,33|3,02515064921498
50|11,17|2,38036443175121|7,22|4,8656385499534|11,33|3,01847833459972
51|11,17|2,2943515745381|7,39|4,62576561003288|11,33|3,20023583149336
52|11,17|2,2033289505696|7,55|4,25278719693295|11,33|2,74975664916515
53|11,17|2,3088233376347|7,88|4,95365032413005|11,33|2,93288894449412
54|11,17|2,22845233515607|7,88|5,11526718467118|11,33|2,72299084984052
55|11,17|2,45096248816852|7,88|4,52081526448708|11,33|2,67332193079143
56|11,17|2,1419741940893|7,72|4,79082331419519|11,33|2,80006840971055
57|11,17|2,42151796526724|7,88|4,34600744423709|11,33|2,85008246060784
58|11,17|2,50764032428489|7,88|4,54335273827701|11,33|2,60441086845766
59|11,17|2,23307128095534|7,55|4,13681570726342|11,33|2,43546586959348
60|11,17|2,23830984148698|7,22|4,59883447612673|11,33|2,76882834672557
61|11,17|2,32369295797033|7,55|4,31811741467539|11,33|2,01336218558299
62|11,17|2,50727534026573|7,88|4,30852106383269|11,33|2,49959199887407
63|11,17|2,13361215942118|8,54|4,47646380116901|11,33|2,56607502098857
64|11,17|2,51154600752655|8,54|4,14400564303902|11,33|2,55606634588739
65|11,17|2,31538320263286|8,54|4,34802716390563|11,33|2,07152876521333
66|11,17|2,39747417977801|8,7|4,36223731777435|11,33|2,92343501015064
67|11,17|2,55850149125472|7,88|4,47881908676597|11,33|2,67233661837428
68|11,17|2,27316036738126|7,88|4,76022070280343|11,33|2,28857830393752
69|11,17|2,46334510598749|7,22|4,30609619874529|11,33|2,58249554894839
70|11,17|2,6072969212475|7,55|4,61763791974303|11,33|2,36770042434149
71|11,17|2,25287002902995|7,55|4,64668643969677|11,33|2,57318468113564
72|11,17|2,14417255995023|7,55|4,0874159826168|11,33|2,08582037791641
73|11,17|2,46646241285934|7,72|4,88250157564944|11,33|2,49223385412698
74|11,17|2,2678871008464|7,55|4,29974354218609|11,33|2,04768177731391
75|11,17|2,37369940245576|7,55|4,46390143587571|11,33|2,31863902362227
