sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|9,69|0|12,15|0|10,67|0
1|13,14|3,88385280161205|19,05|3,8659545723635|10,51|3,97546843119575
2|21,35|4,33216635176891|23,15|4,16610764907225|11,33|5,06445422341071
3|28,74|5,1427592842049|19,87|4,88151684640227|18,72|5,46978041110613
4|23,97|5,36705934757653|26,44|4,8210248871791|17,73|5,54582603673601
5|23,65|5,65016791592435|31,36|6,0006080986814|15,93|6,08827556032851
6|23,97|5,12611067680274|32,84|5,81543139215435|14,45|5,55507076667336
7|28,74|6,13077684419036|30,54|6,18679586325686|14,45|5,81254657985885
8|33,5|5,95788738727704|28,57|5,80267117104372|14,45|5,7417711497677
9|33,33|6,58510137922142|26,44|5,87095534340928|14,61|5,91684734094938
10|32,02|6,67007327994647|24,96|5,93953616948288|13,96|5,40898135868107
11|29,56|5,65920686652385|23,32|5,85585698294735|12,97|6,0085711290884
12|28,41|6,00105215470155|21,84|6,20277324884224|12,32|6,05869431038593
13|26,93|5,85512679064434|21,02|6,14868107558125|11,99|6,32996220012776
14|25,62|6,53694112538115|20,53|6,03001950763646|11,66|6,02270571777779
15|25,29|6,2676342921|19,54|5,10397362239302|11,17|5,51348722488842
16|24,14|5,96980105627796|17,9|5,25110629053743|11,17|5,17133544557859
17|23,81|6,04349440686221|16,58|5,19689030996109|11,17|5,44319920311902
18|22,33|6,05574486773674|15,11|5,26531284786879|11,17|4,08138505807967
19|19,54|5,24618368313332|14,12|5,08342477981293|11,17|4,32252690781967
20|17,73|5,52301793782806|13,46|4,94467122239183|11,17|4,09771448453024
21|16,09|4,97019335021218|13,14|5,09507200752239|11,17|4,08449441166066
22|14,61|4,64130939067863|12,64|4,54406234918129|11,17|3,57788615443134
23|13,79|4,49230905343915|12,64|3,90147095257887|11,17|3,29453912965912
24|12,15|4,52539405543537|12,48|4,45272000743955|11,17|3,86814958246088
25|11,66|4,28785938452757|12,15|4,47822733196925|11,17|3,43620031228522
26|11,17|4,44332741562873|11,82|4,08030774053928|11,17|2,89769983042141
27|10,51|4,20282570588047|11,66|4,81109907103938|11,17|3,4981318638333
28|10,34|3,92057674823133|11,66|4,19938611550304|11,17|3,73857109456018
29|9,85|3,53951316139725|11,66|4,22623784968576|11,17|3,58364860423382
30|10,02|3,86915446243262|11,66|3,99069058218172|11,17|2,94026984980284
31|10,51|3,67263251097305|11,66|3,78061719414577|11,17|2,74154651335656
32|11,17|3,32441846806362|11,66|3,56211026181272|11,17|2,81049109782861
33|10,84|3,54303732085399|11,66|4,33658356911878|11,17|2,61678903865135
34|11,33|3,72389938274268|11,66|4,24415218907059|11,17|2,73061504663162
35|11,82|3,59797450902933|11,66|3,45825248827355|11,17|3,33086367138237
36|11,99|3,44848752692509|11,66|3,5642213026729|11,17|2,62655055879847
37|12,64|3,83416321636592|11,66|3,93402791922239|11,17|3,17764204223881
38|13,3|3,32773791028236|11,66|3,91932615818741|11,17|2,3473522772891
39|14,12|3,32230659274972|11,66|3,29021055171976|11,17|2,93953095077466
40|14,45|2,91216031980962|11,66|3,32701272303563|11,17|3,08008793691881
41|15,11|3,04908625800358|11,66|3,24205134723621|11,17|2,60553653406034
42|15,93|3,01589572668353|11,66|3,1872408753198|11,17|3,08509715172693
43|16,91|3,15304664850194|11,66|3,23944080241999|11,17|2,46553405175233
44|17,24|3,20064394175835|11,66|3,99548287493639|11,17|2,81129319426206
45|17,57|3,0008213762435|11,66|3,63454119937559|11,17|2,80657361463281
46|17,9|3,00551361582835|11,66|3,58194000173778|11,17|2,48844579502263
47|18,56|3,57181837233969|11,66|3,51674031874675|11,17|2,89878998662863
48|18,88|2,7272548190423|11,66|3,46863733813868|11,17|2,71457665589154
49|19,05|2,84293879046059|11,66|3,2812181788476|11,17|2,6021349853415
50|19,21|2,82303944623591|11,66|3,27089533222057|11,17|3,01489117156999
51|19,38|2,71341174304242|11,66|3,47267595565416|11,17|2,554609686353
52|19,87|2,99818505017718|11,66|3,52384569316846|11,17|3,03625032473892
53|20,03|2,95419647145736|11,66|3,51041506501277|11,17|2,70439907840995
54|20,36|2,82237410241879|11,66|3,11888337537569|11,17|2,91390552680422
55|20,53|2,74136336514833|11,66|3,7008836581876|11,17|2,70581181168504
56|20,53|2,76632788137373|11,66|3,18762434005844|11,17|2,4597099051634
57|20,85|2,73068752569154|11,66|3,03364057069884|11,17|2,78400782324884
58|21,02|3,17140632547261|11,66|3,54403598905357|11,17|2,90329136255378
59|21,18|2,94294843137154|11,66|2,79694123530485|11,17|3,00654687606676
60|20,69|3,05048546636324|11,66|3,57057678984385|11,17|2,72735586327254
61|21,18|2,98197348656372|11,66|3,20984939965981|11,17|2,83112583190847
62|21,67|2,96930139789209|11,66|3,08674696597415|11,17|2,68641176886281
63|22,82|3,1093686394284|11,66|3,03650285214213|11,17|3,04689330612907
64|23,48|2,45288470055892|11,66|2,96977967633843|11,17|3,10740474644173
65|24,47|2,96829916196768|11,66|3,6841106631826|11,17|2,7394987690048
66|24,79|2,72200276738048|11,66|3,18177170080043|11,17|2,45650133446558
67|25,12|2,75787323159898|11,66|3,24667315404515|11,17|2,99357422018347
68|25,29|2,92198161784395|11,66|2,9397555909899|11,17|2,65875330067384
69|25,78|2,81178352388015|11,49|3,31847315877537|11,17|2,62377304598673
70|26,11|2,75571674598746|11,49|3,10699655783922|11,17|2,69248093875538
71|26,6|2,98653578053691|11,49|3,29016195438594|11,17|2,86508870509161
72|27,26|2,77876130934554|11,49|2,88073032347841|11,17|2,84208130677577
73|27,42|2,9452946503978|11,49|3,50373080362504|11,17|2,73146216994688
74|26,93|2,74751116922537|11,49|3,20666354969911|11,17|2,92792188800434
75|27,09|2,55632730931418|11,49|3,18566901737293|11,17|2,7944584706366
76|27,09|2,67422352202215|11,49|2,95673257373288|11,17|2,82284082135316
77|27,09|3,12784431372597|11,49|3,37868119333521|11,17|2,75511869309437
78|27,09|2,73166943522845|11,49|3,13919667671929|11,17|2,86566762040816
79|27,09|2,67089050435445|11,49|3,33871202137145|11,17|2,66798262749785
80|27,09|2,98245683397531|11,49|3,2773867374992|11,17|2,83143418947351
81|27,09|2,89413521856744|11,49|3,12136034242945|11,17|2,46804941657534
82|27,26|2,24186523026517|11,49|2,93254131212279|11,17|2,39626391864375
83|27,42|2,93156586261396|11,49|3,35056472194953|11,17|2,90317141964039
84|27,59|2,82072272124874|11,49|3,17094632792458|11,17|2,90679547988736
85|28,08|2,6702066788381|11,49|3,26969693638532|11,17|2,6780781179491
86|28,08|2,76275900730564|11,49|2,94314641345656|11,17|2,77728162765716
87|27,75|2,79194949849557|11,49|2,92009656557159|11,17|2,80885678418622
