sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|6,73|0|8,54|0|9,85|0
1|13,79|4,04792901010246|12,48|4,6367785491407|17,9|3,33186240991043
2|13,79|4,63525302889168|11,33|6,60276879671941|26,44|4,72255057453224
3|13,96|5,23613502548377|11,33|5,99417932295031|16,42|5,00221344206197
4|11,33|5,04637715856453|11,33|6,61899663878978|13,79|5,35518272094741
5|12,64|5,75324260394754|11,17|5,73342255256123|15,11|5,95574278453378
6|15,44|5,71499499718795|11,17|5,55402154986079|15,27|6,1909149584906
7|16,26|5,90757268026903|11,17|5,73053665338908|17,08|6,22913759010078
8|15,27|5,87829450521649|11,17|5,53412464666705|17,57|7,41767987279622
9|16,26|5,73131352322841|11,17|5,37280394318431|18,56|6,90214161327816
10|16,58|5,96342012283358|11,17|5,7657005535697|19,38|6,93753915391395
11|18,72|5,75594825655386|11,17|5,42273321762984|19,05|6,96908699273325
12|18,56|5,58629706823038|11,17|5,18746812479793|19,21|6,65512022589101
13|17,41|5,26453246870859|11,17|5,6220486135625|17,9|7,09815775702543
14|16,42|5,08933797155775|11,17|4,67098577235774|16,75|6,56416345362253
15|15,6|5,6469255351215|11,17|4,04681852159085|15,76|6,51633030441476
16|13,63|5,10568097944149|11,17|4,36768881168219|14,12|6,33139266488173
17|13,96|4,70526466933944|11,17|3,32515287206591|13,14|6,74371806491705
18|14,45|4,55819991904754|11,17|3,99529541353166|12,97|6,18398847146543
19|15,6|4,83409920342135|11,17|3,48929335877228|12,64|6,13865881741983
20|16,26|3,85278842931478|11,17|3,98475477768639|12,48|5,95295961154551
21|17,24|4,27252879659839|11,17|3,58697274196453|12,15|5,70226365414876
22|17,08|3,61193149621287|11,17|3,8604555727799|12,15|6,03702778400767
23|16,58|4,12568513814871|11,17|3,57366145072216|11,99|5,90642798905146
24|15,44|3,83168793295133|11,17|3,90552514908963|11,99|5,81512001775182
25|15,11|3,13181338474811|11,17|3,92570851738974|12,48|5,23855383466807
26|14,45|2,91451197339991|11,17|3,60879070431142|12,48|5,21951932888305
27|13,96|3,32330847801334|11,17|3,51961396415127|12,32|5,35378058916846
28|13,96|3,20398860154778|11,17|3,46911819649492|12,32|5,28767311468614
29|13,3|3,10085374510578|11,17|3,45893869662859|11,66|5,25411228671222
30|13,14|2,82742679968535|11,17|3,40379643149143|11|4,81697555618004
31|12,15|2,62640059386505|11,17|3,40025507039479|10,18|4,65472308052344
32|12,15|2,93413865847805|11,17|3,51726775214718|10,02|4,65671819515365
33|13,3|2,71520540270922|11,17|3,3788905317044|9,52|4,59393472739446
34|13,46|2,90391403177695|11,17|2,85062892254525|9,36|4,67442442375632
35|13,96|2,67800653833824|11,17|3,22458812649239|8,87|4,40659465039326
36|14,45|2,97700376545745|11,17|3,51162677574404|8,54|4,24328498109829
37|15,27|2,53650003453168|11,17|3,30200051832953|8,37|4,69786180155864
38|16,09|2,87656607252539|11,17|3,64673794211179|8,37|4,29169014355777
39|17,08|2,96637269317742|11,17|2,96441470974176|8,37|4,11274207008635
40|17,9|2,64545645483243|11,17|3,23725731730544|8,37|4,5516574770331
41|17,9|2,37914511604553|11,17|3,56981162790019|8,37|4,16177835527982
42|18,56|2,93909168059739|11,17|3,64619417893272|8,37|4,0392554810938
43|18,72|2,7946049999741|11,17|3,31770559483828|8,21|4,11774659832144
44|19,05|2,47660727379402|11,17|2,95467742084502|8,21|3,96178869240711
45|21,02|2,32702683034837|11,17|3,04360180025391|8,21|4,1193290352078
46|22,17|2,48555417126817|11,17|3,41454504293522|8,21|4,16127031619528
47|22,66|2,3115506298509|11,17|3,08021543575808|8,21|3,56019515799046
48|23,48|2,38522138134352|11,17|3,13723001201864|8,21|4,43270050816678
49|24,63|2,37896639575685|11,17|2,94104237964137|8,21|3,6535144219436
