sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|13,3|0|9,69|0|10,18|0
1|12,48|3,58969498665|16,26|3,36928313200813|13,46|4,04706541204335
2|9,36|5,64336565207671|18,56|4,63457674142836|18,39|4,63916044946992
3|8,21|5,44445427985105|14,29|4,70402260447744|15,27|5,94517341033172
4|7,22|5,88779619328321|13,46|4,61891471784892|20,36|6,48876284138914
5|7,22|6,50716491514153|13,63|5,2851748299118|17,08|5,10084928061828
6|7,22|5,97503284531821|13,79|5,60006051961375|14,29|6,00899044834974
7|7,22|5,73085590028351|13,96|5,44290277842213|11,49|6,80123254688538
8|7,22|6,57115587144202|14,61|6,85487719257482|11,33|6,05718730983915
9|7,22|5,65691579520589|14,78|6,32333023227524|11,17|6,39209192010275
10|7,06|6,16911104501884|14,45|6,53209838707248|11,17|6,59742224878805
11|7,06|6,08299005035077|14,29|6,69345340137526|11,17|6,62720367177194
12|7,06|6,35772341696337|13,96|6,28576828302942|11,17|6,79558926567218
13|7,06|6,25796181038702|13,96|6,01732039526669|11,17|6,48861257791769
14|7,06|5,67575718266562|13,96|5,7399525211772|11,17|6,63466834221412
15|7,06|5,75658333555031|13,96|5,42222537999625|11,17|6,37499505031162
16|7,06|5,60612742212245|13,63|5,5195942677707|11,17|5,74908111877762
17|7,06|5,11166009706413|13,63|5,44460044864259|11,17|5,51961669650776
18|7,06|4,88527119504279|13,63|5,20331200532745|11,17|5,7947616836461
19|7,06|4,78984518880496|13,14|5,36072676358657|11,17|5,0834253889713
20|7,06|4,25851762654437|12,64|4,8725278959598|11,17|5,38236766961571
21|7,06|4,59799645921034|12,64|4,27754550064497|11,17|5,94540200118027
22|7,06|4,0532651451314|12,48|4,95116664105426|11,17|5,30066513626077
23|7,06|3,8742394547742|12,48|4,82160581275917|11,17|5,1797256025797
24|7,06|4,41514119715285|12,48|4,20327690861765|11,17|4,57402436660275
25|7,06|4,04985059528975|12,32|3,80317326506483|11,17|4,65963562231053
26|7,06|4,46926157928173|12,15|3,87221894412609|11,17|4,77213707109759
27|7,06|3,75988666765833|11,99|4,30106839340717|11,17|4,64393540599411
28|7,06|3,48867581836959|11,99|4,09403522582113|11,17|4,68547110033299
29|7,06|3,62261523215712|11,99|4,60052480080229|11,17|3,99199903165373
30|7,06|3,52202069659749|11,99|4,00765471498576|11,17|4,33509052413903
31|7,06|3,56677599492614|11,99|4,07477112419786|11,17|4,21966460204033
32|7,06|3,41960443070444|11,99|4,26017934990568|11,17|4,69150308246637
33|7,06|3,53840744010865|11,82|4,11309113677834|11,17|3,91850144950904
34|7,06|3,29248322150901|11,66|4,01017357579795|11,17|4,57107391738715
35|7,06|3,5594852326493|11,49|4,21666162952325|11,17|4,48606373104859
36|7,06|3,35541063057678|11,49|4,07478939775441|11,17|4,13583556043292
37|7,06|3,13583027753967|11,49|3,82700533567552|11,17|3,92410574730469
38|7,06|3,54222374457625|11,49|3,74727833702769|11,17|3,6779298082842
39|7,06|3,25049150971763|11,49|4,31033759555338|11,17|3,91207185640528
40|7,06|3,30022161497088|11,49|3,63218339873425|11,17|3,86166554964124
41|7,06|3,22035451425396|11,49|3,76379609733301|11,17|3,93026023453623
42|7,06|3,17229947154665|11,33|3,69872848538182|11,17|3,97909331722881
43|7,06|2,8126865657487|11,33|3,68139363220597|11,17|3,95010479900231
44|7,06|3,4043077186986|11,33|4,00700379168518|11,17|3,69558817107018
45|7,06|3,29008072332653|11,33|3,6565574370054|11,17|3,41260221977116
46|7,06|3,06399611320748|11,33|3,80355831069514|11,17|3,43323629668016
47|7,06|2,96618933036516|11,33|3,64495441872462|11,17|3,84536565073675
48|7,06|3,15096051007596|11,33|4,04800493575132|11,17|3,33509198932174
49|7,06|3,31282737885034|11,33|3,77242517471163|11,17|3,78243811297251
50|7,06|3,27085688478396|11,33|3,17204379963553|11,17|3,29480240448532
51|7,06|3,0819414868437|11,33|3,5286822687506|11,17|3,17214496517642
52|7,06|3,03532550296054|11,33|3,50113008697445|11,17|3,55335713480622
53|7,06|3,07999719310763|11,33|3,46666567589581|11,17|3,86191101209844
54|7,06|3,08350272617202|11,33|3,26372283849524|11,17|4,35890754864126
55|7,06|2,835391973436|11,33|3,85661321084581|11,17|2,94214279912346
56|7,06|3,12350229439993|11,33|3,57149925999064|11,17|3,34118136585406
57|7,06|2,91258435187708|11,33|3,52125871560006|11,17|2,82002432127359
58|7,06|3,1811437999379|11,33|3,41397921829305|11,17|3,42669761346886
59|7,06|3,19929345342219|11,33|3,41595755434633|11,17|3,2272657170982
60|7,06|3,10996309141609|11,33|3,82316831311634|11,17|3,39183962801065
61|7,06|2,83621527233468|11,33|3,07229405000002|11,17|3,34174791147645
62|7,06|2,85357731983818|11,33|3,55084377360199|11,17|3,81592668926383
63|7,06|2,90225634587696|11,33|3,54475799120837|11,17|3,26060911401594
64|7,06|3,02587072416387|11,33|3,63489221254964|11,17|3,50677254759911
65|7,06|2,94789845179139|11,33|3,81608474972044|11,17|3,07565117522168
66|7,06|3,08139826671499|11,33|3,433353543486|11,17|3,18638632235924
67|7,06|2,87383637254139|11,33|3,60464972776837|11,17|3,01824129380705
68|7,06|2,97036859616565|11,33|3,80300721134164|11,17|3,76632339656595
69|7,06|2,84448826103781|11,33|3,68746717020393|11,17|3,71485185603514
70|7,06|2,7613281840447|11,33|3,80918817362111|11,17|3,7522605651031
71|7,06|2,92798397068638|11,33|3,80530018695837|11,17|3,01091266524984
72|7,06|2,88225548577157|11,33|3,33084316585418|11,17|3,43522683080838
73|7,06|3,0673701914219|11,33|3,44284928341096|11,17|3,50688030653295
74|7,06|3,05346583004394|11,33|3,58398087030676|11,17|3,43003545816867
75|7,06|3,18387344869137|11,33|3,6445807360216|11,17|3,0042487945263
76|7,06|2,80361689372022|11,33|3,3709667186972|11,17|3,4800368646493
77|7,06|2,76075772364584|11,33|3,54278330073974|11,17|3,55660413300395
78|7,06|3,338889359609|11,33|3,49389308981543|11,17|3,27074735948243
79|7,06|2,96883090581102|11,33|3,52587549276024|11,17|3,31619882885094
80|7,06|3,13370324839027|11,33|3,78174882362754|11,17|3,70078309119448
81|7,06|3,14167029587961|11,33|2,99632975530462|11,17|3,42801292444441
82|7,06|3,00361159771002|11,33|3,61606946739825|11,17|3,36745831404919
83|7,06|2,5677915427273|11,33|3,33043645871205|11,17|3,00054807316068
84|7,06|3,18694744369521|11,33|3,46623813907802|11,17|3,80022899241571
85|7,06|3,33533081835497|11,33|3,41420701192101|11,17|3,24124718603055
86|7,06|2,99670726011773|11,33|3,51540912512984|11,17|3,63192584496724
87|7,06|3,05990591426324|11,33|3,79013556555971|11,17|3,29376706607467
88|7,06|3,00994294959711|11,33|3,51675777642702|11,17|3,49115268360482
89|7,06|3,06391699404389|11,33|3,47486436080821|11,17|3,24221265773421
90|7,06|3,26894320493391|11,33|3,44367265304807|11,17|3,30839663093851
91|7,06|3,05064795895083|11,33|3,90723935667784|11,17|3,09581504906956
92|7,06|2,83286428306127|11,33|3,784350444937|11,17|3,06268418151446
93|7,06|3,00784725051517|11,33|3,20805458362489|11,17|2,90463779000851
94|7,06|2,97548191575269|11,33|3,31275763809749|11,17|3,16879127155304
95|7,06|2,96952387530909|11,33|3,52879585976947|11,17|3,44963470884713
96|7,06|2,83409868155733|11,33|3,59877231931774|11,17|3,25491423295412
97|7,06|2,99121309695451|11,33|3,97022068808028|11,17|3,49617304550174
98|7,06|2,93091985310014|11,33|4,05071572147319|11,17|3,57594171184547
99|7,06|3,24907101609916|11,33|3,01489230126889|11,17|3,43635441195272
100|7,06|3,05951380505777|11,33|3,70664815467532|11,17|3,6912706752482
101|7,06|3,10708831355192|11,33|3,15937786557041|11,17|3,5946858375509
102|7,06|3,02675956013265|11,33|3,44727507603419|11,17|3,70562493926271
103|7,06|2,86124702530667|11,33|3,3335579201877|11,17|3,27472813228641
104|7,06|3,00290236643407|11,33|3,38135908901038|11,17|3,72161204954332
105|7,06|3,32248120360005|11,33|3,70759500282926|11,17|3,1763417823097
106|7,06|2,78452559561194|11,33|3,11362071267978|11,17|3,48059250648986
107|7,06|3,07167144040058|11,33|3,67205711010996|11,17|3,59440205832776
108|7,06|3,12513940591509|11,33|3,55971476737366|11,17|3,44736699120901
109|7,06|2,8477125543524|11,33|3,39590224284167|11,17|3,08762273823832
110|7,06|3,19962264863502|11,33|3,37013276002558|11,17|3,23385337796569
111|7,06|2,68504101510376|11,33|3,59837569739179|11,17|3,02727748010487
