sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|7,88|0|11|0|13,14|0
1|8,7|4,9288603276282|10,02|5,90247796687444|13,63|5,77682728371905
2|8,21|4,85092425968388|8,87|5,23295553197727|14,12|5,02567823211908
3|8,05|3,99722921056554|8,7|3,60922375889084|14,29|4,86625067211956
4|8,54|3,84975455969509|8,7|3,18695748530042|13,79|4,30314971203245
5|8,87|3,25430275094538|11|2,02289097134246|13,96|4,13232162087328
6|10,51|3,0955631967247|15,11|2,23045963162737|14,45|3,9336039321224
7|11|2,80435940165279|17,08|2,52715687813246|13,63|3,11775837038027
8|11|2,61534912335082|18,06|1,74199546970326|13,63|3,32631253404274
9|11,33|2,25693707386181|15,93|1,69449977959212|13,63|3,60662086122933
10|10,84|2,66787095960844|16,09|1,42367834684707|13,46|2,67313690853819
11|10,02|2,2392223989867|19,38|1,41073667724827|13,46|2,75573571612134
12|10,67|1,59792865899673|18,88|1,37264903598949|13,14|2,84513607737081
13|10,51|1,6000160545606|20,69|1,36154181772372|13,14|2,68175107657592
14|11,17|1,629989084992|20,36|1,49183912521222|13,14|2,65010308932871
15|12,48|1,91718304525972|20,2|1,41564014158382|12,81|2,71128095353071
16|11,66|1,5648585042387|20,85|1,19649344766049|12,81|2,06612858443093
17|11,49|1,83070067565612|20,69|1,33789873416115|12,81|2,88799182218111
18|12,81|1,51177862693201|19,38|0,98541739728004|12,97|2,84896109201712
19|13,46|1,47942868078295|20,53|1,09030199790003|12,81|2,28561744285945
20|13,63|1,44394874868713|20,03|1,0950114333398|13,14|2,51834424816148
21|15,6|1,54454581070023|20,53|1,01613859358694|13,3|2,50758061416576
22|15,93|1,72217510690136|22,33|1,41040324947853|12,48|2,64883436726786
23|16,91|1,53585862752508|22,99|1,0707335480854|11,49|2,61336585344118
24|18,39|1,11678881790585|24,47|1,30118532662604|10,67|2,63945151594959
25|19,05|0,9790574373725|24,3|1,05390586420484|11,49|2,35683751821636
26|19,87|1,42160720164368|26,11|1,35211925347514|11,49|2,4118768105401
27|20,2|0,999862812524978|26,11|1,18032741797719|11,33|2,24490293550144
28|20,2|1,29436880679944|24,96|1,11567063948122|11,49|1,90001071307571
