sep=|
epoch|evaluation_0|error_0|evaluation_1|error_1|evaluation_2|error_2
0|13,46|0|13,63|0|11,33|0
1|14,61|3,44960270316083|15,6|3,68112859859129|12,32|3,65630565031409
2|15,44|3,45548228195672|14,12|3,28461494705841|15,27|3,65459119141083
3|14,61|3,34199992909223|15,6|3,696749092025|17,9|3,03731695395157
4|15,76|3,27059300065454|17,57|3,20502559357628|14,78|3,55366995135306
5|18,72|3,33891036086925|20,2|3,37401647730844|19,21|3,50522611783014
6|18,88|3,44334477990557|21,84|3,08256584936704|22,82|2,81638548412534
7|23,65|2,99233659504577|23,15|2,93359492130648|21,35|2,78442850757922
8|22,66|2,84441134301552|25,62|2,81692411988894|24,3|2,83873827820839
9|25,12|2,68403095120725|31,86|2,87625278148104|26,11|2,551100100419
10|28,9|2,50180835949126|35,8|2,75701966361615|27,75|2,59162305639545
11|33|2,49000477937293|32,51|2,72333584275831|28,74|3,19570714445829
12|33|2,58387956888642|35,63|2,58369725032931|30,05|2,62405793875577
13|32,51|2,76131298826488|31,53|2,775007274664|29,89|2,8114605507764
14|36,45|2,66932599416778|31,2|2,83484322683857|29,89|2,67698491125844
15|34,32|2,5219769519478|38,42|2,54869757708201|35,96|2,47748960597402
16|38,59|2,89772321657835|41,22|2,49154877706357|38,59|3,02782351113094
17|33,17|2,50132669898314|35,96|2,64483620525751|40,89|2,06069932736659
18|36,62|2,26703685363067|38,26|2,40669692121963|40,72|2,81171431024727
19|38,26|2,81959596389575|36,78|2,46195455245679|33,17|2,42476234756942
20|43,51|2,43044287579024|41,38|2,64715340522833|42,53|2,6848520881747
21|42,53|2,6670089655377|46,63|2,48267127199392|43,35|2,62236159160293
22|44,5|2,30267821940139|45,81|2,27822229306836|42,53|2,63530531272664
23|45,48|2,54744303256657|46,31|2,49946398552044|45,98|2,78681094961537
24|49,59|2,44797960229774|48,28|2,44967410913285|47,95|2,64518576990631
25|45,81|2,27368914022477|49,43|1,99183879229875|50,08|2,3715019138474
26|50,41|2,47563465021393|52,55|2,14855794053732|50,9|2,21461955767524
27|53,53|2,35504284053057|54,52|2,48179163539912|51,72|2,37758210211496
28|52,87|1,98155265865514|59,11|2,27280425912666|52,71|2,18921784028953
29|47,62|2,22929626763436|57,47|2,40345506340602|49,92|2,54702474608979
30|48,6|1,96191810936068|48,6|2,07515517077759|59,11|2,43343017040476
31|51,4|2,24876918243506|56,49|2,24612433876303|55,83|2,4292268568343
32|42,69|2,24293045809466|55,67|2,08855802756786|56,49|2,30936956280733
33|54,84|2,15309006808663|60,43|1,85607183021006|57,64|2,32157362606599
34|56,49|2,13010372535971|59,77|2,27457845954941|56,16|2,19079929004177
