epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2
0;10,67;0;11,99;0;10,34;0
1;13,46;5,503956213;11,99;4,922598531;12,64;4,828542759
2;17,24;4,605767621;11,99;4,624809501;12,15;5,146190512
3;15,76;5,291802709;12,32;4,388011633;13,3;4,989012696
4;16,91;5,191040751;14,12;4,72149378;15,76;4,383902805
5;17,57;4,074007486;16,91;4,424310317;14,45;4,65003138
6;18,72;4,046212553;18,39;4,95916149;15,93;4,698160369
7;19,05;4,173750601;21,02;3,869494132;15,76;4,48065107
8;20,2;5,074110044;17,08;4,102955157;19,21;4,557542079
9;23,32;4,375718006;18,72;4,196168351;20,03;4,003367876
10;25,94;4,218250352;22,66;4,106464004;20,2;3,977215704
11;23,65;4,292575326;22,99;4,47818853;23,48;4,552316518
12;26,27;3,892148702;26,11;3,655816579;22,33;3,754687904
13;26,11;4,027552685;27,09;3,778910511;21,18;4,459706953
14;26,77;3,543863173;28,74;3,488144088;22,33;3,793391568
15;32,18;3,567721433;25,45;3,870925601;25,29;4,465155606
16;34,32;4,292526413;28,9;3,252571233;25,12;3,934515813
17;34,48;3,42560271;31,2;3,210900218;23,97;3,771152964
18;35,96;3,765017476;30,87;3,530124849;29,56;3,61732859
19;35,14;3,894408277;35,63;3,784334734;33,5;3,677377474
20;34,65;3,980604847;33,99;3,431142923;33,17;4,142993683
21;37,44;3,301560786;32,18;3,76380133;36,78;3,536999202
22;38,75;3,83671579;35,8;2,988773922;35,47;3,629427167
23;39,41;3,320721332;39,41;3,218268345;37,44;3,389965081
24;37,6;3,313051401;44,01;3,177538889;35,96;3,772245327
25;33,83;3,253246756;39,9;3,240270471;38,42;3,793631989
26;44,66;3,613450624;44,5;3,107511133;45,16;3,309318592
27;41,22;3,537669934;38,26;3,448888451;44,17;3,254355706
28;44,17;3,385985556;43,51;3,42926506;42,86;3,263293459
29;39,74;3,725758898;31,03;3,023721996;48,77;3,472285185
30;47,62;3,199719496;38,26;3,395443885;49,92;3,023019346
31;44,83;3,117740154;44,17;3,399436355;47,62;3,095290334
32;41,54;3,302947441;44,99;2,830854716;46,63;3,444383811
